draw,mu34_auris,mu34_haemulonii,mu34_duobushaemulonii,mu34_parapsilosis,mu40_auris,mu40_haemulonii,mu40_duobushaemulonii,mu40_parapsilosis,mu44_auris,mu44_haemulonii,mu44_duobushaemulonii,mu44_parapsilosis,offTopt_auris,offTopt_haemulonii,offTopt_duobushaemulonii,offTopt_parapsilosis,offTm_auris,offTm_haemulonii,offTm_duobushaemulonii,offTm_parapsilosis
23,0.37566458316108353,0.4126221490351882,0.4696097235066109,0.48169185729734737,0.12455752580362803,0.14565200943940457,0.5686519257767482,0.7523008817903151,0.04410527956690202,0.05204333417036811,0.5062555513250024,0.767607962477223,-13.260824085927363,-10.083053154955532,5.589421391203263,8.96315488614315,0.7703784412469409,-6.734479426302446,8.405658047397042,6.800185884531184
24,0.17530107787269145,0.6777228097924527,0.5103228554926483,0.27495973494370196,0.04098241043261084,0.5070812203296091,0.30241197184415264,0.08400383444189963,0.009285658484862845,0.3089594090627579,0.16238226261698005,0.026336895428632275,-18.183744777794125,-0.1597615528917001,-3.6992231786348824,-12.860626384390697,4.951261256979561,-5.4265102757619665,-2.8959912195315605,-14.760169979882724
25,0.6384408851772072,0.07476877737512799,0.5551098417818682,0.03359022052999077,0.7694512387436139,0.29111683485014306,0.5319138417863843,0.19700418457615632,0.6506839569708475,0.4907419438516887,0.40348464542102036,0.3472171536838546,4.541381656153248,16.30144884170826,2.2673374361669554,18.865373368487454,1.9373478119837106,8.625970516352746,6.441718746491736,-5.25955974162204
26,0.8169718903909076,0.15102488212521342,0.3366293465341093,0.6461220097956172,0.5508333411889003,0.029764298146433908,0.44921533711480477,0.7201132948614825,0.3264768697371785,0.0053062935430332825,0.4103958031563102,0.6372301009250687,-3.2175598612165257,-16.652133691413894,8.106940624012877,5.556172691711458,2.042617255141508,-8.206626368813051,-3.2617462503657726,-0.8675997574939245
27,0.0661472245818144,0.6799621025090641,0.19876302755353242,0.00039894660338002293,0.3253910820801745,0.6083935690619994,0.05471370345140546,0.0022987584849170147,0.5246757969639895,0.42063256156287787,0.015336699231358367,0.006645419330749072,15.13018747402624,1.6329909098645825,-12.558657914543966,32.701604786041514,2.0780496481903867,-2.096604413178791,-11.716591152896163,2.385663240867318
28,0.138198331129052,0.5405208907867658,0.35269643212018803,0.04316438453700778,0.39148644911974334,0.7049830440975035,0.14576218531957333,0.24039153162868748,0.47059999607748443,0.6253650376599083,0.06269207955867122,0.4206647138149046,12.626261215264757,5.763708054902769,-10.594132237710934,18.296530827048755,-6.693316592014625,2.890593496366425,15.276670226021308,-1.2152208706243939
29,0.11163374907261439,0.4631178259231675,0.5354279786067476,0.18487743352229485,0.44351281728848163,0.6915444605219412,0.47522971960839683,0.047363387238884475,0.6636199472815435,0.6681879777213264,0.3370942435759028,0.013961765196335569,13.700686133582387,7.246385375201768,1.7884067105559762,-17.585382171469927,8.98027234188198,4.0968013640202505,0.08251008302206018,-3.217313573867616
30,0.5474510484773277,0.14679193586317177,0.28173193435027155,0.4643833641785716,0.7056530965634455,0.4004224512803796,0.09655872187140241,0.1834212215513585,0.6101606757692645,0.5361073162290586,0.03372964357569331,0.0787660987696911,5.71225821732933,13.556896023502507,-10.236183419116353,-11.34050613362959,-1.8718261824172113,0.7624265630983282,-9.453009857182533,-0.26344971857354715
31,0.42185293782590244,0.5149445802602536,0.41083905733891196,0.6042268344776895,0.2052763272176001,0.7555637633518449,0.18666260504698598,0.2743757411904418,0.09318192856441239,0.7342107287431056,0.08451066799512055,0.1388469905288128,-2.6151992683729874,6.651701544736096,-8.507460719886163,-9.462399734463148,-20.586855863552515,12.057692905215434,3.5206336112673036,9.857226096714506
32,0.543882395919716,0.04932463065531332,0.5632660705880737,0.5546789544434754,0.2265654821530043,0.2232568057652149,0.3610165615941493,0.7836106296971866,0.09460533069749472,0.410585721319024,0.2108562901738748,0.782842537405194,-9.780090602771075,17.647188885596915,-3.8661903037281085,7.849769878878799,-1.3547229707195414,7.0875143685924895,9.358811413479556,8.058743525350206
