T,OTU,Replicate,n,r2,rmse,rss,aic,aicc,aicc_lin,delta_aicc_curv,rt_curv,has_curvature,r_at_bound,K_at_bound,fit_valid,T_end_min,keep,tech_fail,klass,key,excluded,otu_name,sp
22,4,R5,728,0.996459719310751,0.10836317884101,8.548597168768913,-3229.6206446475167,-3229.5874954762457,-962.725112727804,2266.8623827484416,2.273172113679048,True,False,False,True,729.3900000000001,True,False,detected,"(22, 4, 'R5')",False,Clade2_2071,auris
22,5,R1,798,0.9963110342182484,0.0896089570115299,6.407752611001993,-3844.030795772268,-3844.000569072016,-1590.7240517800408,2253.2765172919744,1.934205126178689,True,False,False,True,799.6,True,False,detected,"(22, 5, 'R1')",False,Clade2_2072,auris
22,5,R2,826,0.99702392681986,0.0915607833354619,6.924669439172816,-3943.5226814839634,-3943.493484403672,-1500.31868417,2443.174800233672,1.8638176902206327,True,False,False,True,827.7,True,False,detected,"(22, 5, 'R2')",False,Clade2_2072,auris
22,5,R3,824,0.9992726539906356,0.0457105604342915,1.7217111962188214,-5078.781926153608,-5078.752657860925,-1526.6493115038966,3552.1033463570284,1.855826304221457,True,False,False,True,825.68,True,False,detected,"(22, 5, 'R3')",False,Clade2_2072,auris
22,5,R4,546,0.99500848612164,0.0759782519860441,3.151891347070732,-2808.420486395927,-2808.3762059531227,-2196.774957345955,611.6012486071677,0.7730035774479773,True,False,False,True,546.88,True,False,detected,"(22, 5, 'R4')",False,Clade2_2072,auris
22,5,R5,616,0.996012447949612,0.0712337538004526,3.1257365711901577,-3248.6834352881096,-3248.644219601835,-2250.824896986257,997.8193226155776,0.9950954457861252,True,False,False,True,617.0500000000001,True,False,detected,"(22, 5, 'R5')",False,Clade2_2072,auris
22,6,R1,729,0.997791391610581,0.0507611948168418,1.8784134975411308,-4339.74847668296,-4339.715373234684,-2887.6413796544225,1452.0739935802617,0.9365153526206208,True,False,False,True,730.3900000000001,True,False,detected,"(22, 6, 'R1')",False,Clade2_2073,auris
22,6,R2,894,0.9989243204016484,0.0471033803928546,1.9835432293239608,-5457.073991855356,-5457.047025563222,-2477.873134376516,2979.173891186705,1.3435806287014531,True,False,False,True,895.97,True,False,detected,"(22, 6, 'R2')",False,Clade2_2073,auris
22,6,R3,877,0.9990782074842994,0.0422652857386555,1.566632790006062,-5543.286253255565,-5543.25876184663,-2297.241647917413,3246.0171139292165,1.5102716515311707,True,False,False,True,878.9000000000001,True,False,detected,"(22, 6, 'R3')",False,Clade2_2073,auris
22,6,R4,898,0.9964823083705444,0.0942550525882576,7.977845414696861,-4235.704518926442,-4235.6776732888575,-2264.5693590239835,1971.108314264874,1.3167879595081862,True,False,False,True,900.0,True,False,detected,"(22, 6, 'R4')",False,Clade2_2073,auris
22,6,R5,706,0.9985923487140036,0.0419601851636106,1.2430239401089314,-4471.500124636364,-4471.465936602175,-2919.0643486606346,1552.4015879415406,0.8372733074796408,True,False,False,True,707.3,True,False,detected,"(22, 6, 'R5')",False,Clade2_2073,auris
22,7,R1,641,0.997898608458744,0.0763647440097792,3.738039015842313,-3291.604186913039,-3291.5665103039337,-769.8399888975599,2521.7265214063736,2.7235541787349824,True,False,False,True,642.08,True,False,detected,"(22, 7, 'R1')",False,Clade3_2074,auris
22,7,R2,598,0.9989926541977868,0.0489988556405086,1.4357309367394846,-3601.0861691617934,-3601.045765121389,-847.198872705109,2753.8468924162803,2.6395512404267656,True,False,False,True,598.93,True,False,detected,"(22, 7, 'R2')",False,Clade3_2074,auris
22,7,R3,594,0.9980746755974024,0.0749023985678085,3.332559370859247,-3072.784406058915,-3072.7437280928134,-708.931658822624,2363.8120692701896,2.652476458343267,True,False,False,True,594.9,True,False,detected,"(22, 7, 'R3')",False,Clade3_2074,auris
22,7,R4,601,0.9989706561187096,0.0456384341185665,1.2518028679456397,-3704.58008691116,-3704.5398859061343,-1152.8110688198055,2551.7288170863285,2.206430723302073,True,False,False,True,601.9499999999999,True,False,detected,"(22, 7, 'R4')",False,Clade3_2074,auris
22,7,R5,634,0.9973235377535276,0.0885251774392971,4.96847226377784,-3068.2257747143226,-3068.1876794762275,-733.5364527775913,2334.651226698636,2.715593600346258,True,False,False,True,635.0500000000001,True,False,detected,"(22, 7, 'R5')",False,Clade3_2074,auris
22,8,R1,650,0.9974332805332052,0.0748583918098819,3.642456235835174,-3363.8041771841667,-3363.76702548138,-904.1684513182267,2459.598574163153,2.828648865676739,True,False,False,True,651.12,True,False,detected,"(22, 8, 'R1')",False,Clade3_2075,auris
22,8,R2,628,0.9979791846551564,0.0650844355958897,2.660197799292705,-3425.47972268419,-3425.4412611457287,-964.1585959024862,2461.2826652432423,2.6617648614427893,True,False,False,True,629.0300000000001,True,False,detected,"(22, 8, 'R2')",False,Clade3_2075,auris
22,8,R3,521,0.9984671835942972,0.0368403626884277,0.7071076202907627,-3433.8099940333323,-3433.763572369889,-1325.2702362847042,2108.493336085185,2.4532842917064346,True,False,False,True,521.71,True,False,detected,"(22, 8, 'R3')",False,Clade3_2075,auris
22,8,R4,577,0.9989378054501132,0.0384840551084928,0.8545499811114565,-3753.16801308055,-3753.126128263796,-1121.3661347133914,2631.759993550405,2.672278001978229,True,False,False,True,577.87,True,False,detected,"(22, 8, 'R4')",False,Clade3_2075,auris
22,8,R5,512,0.998857609439022,0.0367904278369443,0.693010217177808,-3375.778002707509,-3375.730758613021,-1080.368982062498,2295.3617765505232,2.6989953062684613,True,False,False,True,512.6800000000001,True,False,detected,"(22, 8, 'R5')",False,Clade3_2075,auris
22,9,R1,598,0.9966131884651372,0.083251175521155,4.144593418941193,-2967.12806369706,-2967.087659656656,-916.9385570997158,2050.1491025569403,2.6592990722096697,True,False,False,True,598.92,True,False,detected,"(22, 9, 'R1')",False,Clade3_2076,auris
22,9,R2,491,0.9985996633066168,0.0364512598165792,0.652388922027941,-3246.167231607035,-3246.1179502928667,-1353.977566339624,1892.1403839532427,2.068989006147526,True,False,False,True,491.61,True,False,detected,"(22, 9, 'R2')",False,Clade3_2076,auris
22,9,R3,595,0.9979750835708666,0.0638591211187767,2.426402473287245,-3267.7802667539245,-3267.7396576168685,-913.5855199911682,2354.1541376257,2.702673759532137,True,False,False,True,595.9200000000001,True,False,detected,"(22, 9, 'R3')",False,Clade3_2076,auris
22,9,R4,605,0.9982089539907189,0.0617646126082015,2.3079947592379333,-3363.15387494943,-3363.1139415051703,-889.3284305702167,2473.785510934953,2.737000292663136,True,False,False,True,605.95,True,False,detected,"(22, 9, 'R4')",False,Clade3_2076,auris
22,9,R5,663,0.9983468150989953,0.0829958705898605,4.566952536684364,-3294.3668266915456,-3294.330407875157,-467.5537384192589,2826.776669455898,2.894502818662304,True,False,False,True,664.1700000000001,True,False,detected,"(22, 9, 'R5')",False,Clade3_2076,auris
22,10,R1,657,0.9977138082849952,0.0638509639192865,2.678553254878276,-3609.081530394721,-3609.0447769490856,-1094.8151465230972,2514.2296304259885,2.709551487072541,True,False,False,True,658.12,True,False,detected,"(22, 10, 'R1')",False,Clade4_2077,auris
22,10,R2,587,0.999084722959732,0.0338169495518857,0.671285027195941,-3970.095141843754,-3970.053975462965,-1249.4819753290328,2720.5720001339323,2.553892122867864,True,False,False,True,587.85,True,False,detected,"(22, 10, 'R2')",False,Clade4_2077,auris
22,10,R3,591,0.997936352933277,0.0519082793075361,1.592431451255487,-3490.6833871720846,-3490.642501311778,-1296.3454024068983,2194.297098904879,2.4015004871817114,True,False,False,True,591.87,True,False,detected,"(22, 10, 'R3')",False,Clade4_2077,auris
22,10,R4,662,0.9982671106471004,0.0569332901850467,2.1458064897171147,-3788.418558481015,-3788.3820843168814,-1087.548585293935,2700.8334990229464,2.669898335019256,True,False,False,True,663.12,True,False,detected,"(22, 10, 'R4')",False,Clade4_2077,auris
22,10,R5,648,0.9975238051364044,0.063767891772076,2.634990925643773,-3561.24710087688,-3561.2098337961343,-1203.1767131907263,2358.033120605408,2.565117141616928,True,False,False,True,649.08,True,False,detected,"(22, 10, 'R5')",False,Clade4_2077,auris
22,11,R1,584,0.9975739422892296,0.0562709181984854,1.8491870811819773,-3355.0104358377853,-3354.9690565274404,-1202.3444470011275,2152.624609526313,2.573417644974773,True,False,False,True,584.87,True,False,detected,"(22, 11, 'R1')",False,Clade4_2078,auris
22,11,R2,615,0.9988990951393968,0.0429484092319299,1.134408001165295,-3865.7394727606857,-3865.7001928916175,-1119.2067415521126,2746.4934513395056,2.603280828587148,True,False,False,True,615.95,True,False,detected,"(22, 11, 'R2')",False,Clade4_2078,auris
22,11,R3,560,0.9989488714804428,0.0352689036877677,0.696581517708739,-3740.1240528740313,-3740.0808874064055,-1141.4197092828665,2598.6611781235392,2.76854689297247,True,False,False,True,560.79,True,False,detected,"(22, 11, 'R3')",False,Clade4_2078,auris
22,11,R4,598,0.999733238433571,0.0226661981043645,0.3072264088307678,-4523.109119326673,-4523.068715286269,-956.4116316150656,3566.6570836712035,2.710526904794127,True,False,False,True,598.88,True,False,detected,"(22, 11, 'R4')",False,Clade4_2078,auris
22,11,R5,556,0.9990580949277076,0.0328030386747589,0.5982778765415383,-3793.9643474002687,-3793.920869139399,-1159.011291146348,2634.9095779930512,2.7869800839096817,True,False,False,True,556.78,True,False,detected,"(22, 11, 'R5')",False,Clade4_2078,auris
22,12,R1,548,0.9967809415618348,0.0758144083689092,3.149807834947595,-2821.095744730936,-2821.0516270838766,-1011.3812247924668,1809.6704022914096,2.4204628412457594,True,False,False,True,548.75,True,False,detected,"(22, 12, 'R1')",False,Clade4_2079,auris
22,12,R2,560,0.9962340719998712,0.0975792860512667,5.332161557113962,-2600.3408461092818,-2600.297680641656,-746.9970490666807,1853.300631574976,2.6387983196199247,True,False,False,True,560.79,True,False,detected,"(22, 12, 'R2')",False,Clade4_2079,auris
22,12,R3,444,0.996060364793662,0.0564923826028836,1.4169768457148608,-2545.80073034287,-2545.7461848883245,-1320.0453679307482,1225.7008169575763,1.964378088335198,True,False,False,True,444.41,True,False,detected,"(22, 12, 'R3')",False,Clade4_2079,auris
22,12,R4,451,0.9978698187517112,0.0402909172945291,0.732134465411999,-2890.8895498894512,-2890.835858614284,-1184.587497580648,1706.2483610336355,2.52549941696184,True,False,False,True,451.45,True,False,detected,"(22, 12, 'R4')",False,Clade4_2079,auris
22,12,R5,550,0.998063548350832,0.0615420786267134,2.0830850929331213,-3060.8375461008923,-3060.7935900569364,-948.3875484457176,2112.406041611219,2.495273410308353,True,False,False,True,550.7700000000001,True,False,detected,"(22, 12, 'R5')",False,Clade4_2079,auris
22,13,R1,889,0.9980479216721072,0.0160656550144582,0.2294555859577483,-7339.045152747605,-7339.0180341035375,-4499.652047230155,2839.365986873382,1.6902651689618635,True,False,False,True,891.3199999999999,True,False,detected,"(22, 13, 'R1')",False,glab_2048,other
22,13,R2,656,0.9960551504377916,0.0162120696158195,0.1724172680056849,-5402.063050286882,-5402.026240470931,-3505.5111996729,1896.515040798032,2.0644445646313354,True,False,False,True,657.48,True,False,detected,"(22, 13, 'R2')",False,glab_2048,other
22,13,R3,897,0.9889750751544946,0.0516785876829262,2.395596753137002,-5309.104875908344,-5309.078000208457,-4722.1100552985135,586.9679449099431,0.8486302104782809,True,False,False,True,899.35,True,False,detected,"(22, 13, 'R3')",True,glab_2048,other
22,13,R4,671,0.9941242545329436,0.0146239461738146,0.1434999269370946,-5664.077416125208,-5664.041434116213,-4183.501690754598,1480.5397433616154,1.7037173033688606,True,False,False,True,672.53,True,False,detected,"(22, 13, 'R4')",False,glab_2048,other
22,13,R5,653,0.9956994413559136,0.0198691064631548,0.257792248743652,-5111.677485498026,-5111.640505528842,-3156.8364429049857,1954.804062623857,2.291024245571009,True,False,False,True,654.54,True,False,detected,"(22, 13, 'R5')",False,glab_2048,other
22,14,R1,563,0.9889653700282146,0.0143630392424446,0.1161451526056422,-4771.72732485583,-4771.684391045455,-4052.913421837396,718.7709692080584,1.341835779037918,True,False,False,True,564.04,True,False,detected,"(22, 14, 'R1')",False,glab_2049,other
22,14,R2,515,0.9874147969132,0.0125030287141999,0.0805077494194752,-4507.237897893713,-4507.190931161815,-3783.316491645,723.8744395168151,1.5736811271482245,True,False,False,True,515.81,True,False,detected,"(22, 14, 'R2')",False,glab_2049,other
22,14,R3,498,0.9873435562443148,0.0104606451804001,0.054493698599934,-4535.894600954862,-4535.84601795891,-3747.86109806697,787.9849198919401,1.7760231750970532,True,False,False,True,498.8,True,False,detected,"(22, 14, 'R3')",False,glab_2049,other
22,14,R4,516,0.9864361003874292,0.0118747975191152,0.0727615811179124,-4569.203763595995,-4569.156888595995,-3617.028254885376,952.1286337106194,2.1622955944851965,True,False,False,True,516.86,True,False,detected,"(22, 14, 'R4')",False,glab_2049,other
22,14,R5,567,0.9878630741264208,0.0132952237220795,0.1002246061560236,-4893.277384097346,-4893.234755322923,-3659.104297293842,1234.1304580290807,2.4913201586995712,True,False,False,True,568.05,True,False,detected,"(22, 14, 'R5')",False,glab_2049,other
22,15,R1,474,0.9796684063579508,0.0159521526682751,0.1206193368324275,-3916.97709757267,-3916.9260337428814,-3373.698805607517,543.2272281353653,1.6610578273358017,True,False,False,True,474.69,True,False,detected,"(22, 15, 'R1')",False,glab_2050,other
22,15,R2,534,0.9875009866141946,0.0146925624205156,0.1152753225167203,-4501.40201425505,-4501.356731236182,-3980.766513694592,520.5902175415904,1.1260905676283646,True,False,False,True,534.9000000000001,True,False,detected,"(22, 15, 'R2')",False,glab_2050,other
22,15,R3,462,0.9907315177246296,0.0121220352761328,0.0678880075269437,-4071.362876077699,-4071.310474330974,-3501.7887333983035,569.5217409326706,1.1751506307639104,True,False,False,True,462.64,True,False,detected,"(22, 15, 'R3')",False,glab_2050,other
22,15,R4,463,0.9838450796498434,0.0138294919334419,0.0885509942244937,-3958.161432115826,-3958.109144534127,-3127.054114453108,831.0550300810191,2.278417997206461,True,False,False,True,463.64,True,False,detected,"(22, 15, 'R4')",False,glab_2050,other
22,15,R5,370,0.9846165166781669,0.0121202855108257,0.0543534887196553,-3259.5273087985065,-3259.4617350280146,-2766.244974185836,493.2167608421787,1.6413701308350288,True,False,False,True,370.3399999999999,True,False,detected,"(22, 15, 'R5')",False,glab_2050,other
22,16,R1,452,0.9957755508748586,0.0990990929338097,4.438924859577342,-2083.718031617516,-2083.6644601889443,-916.6749058503192,1166.989554338625,1.8537502884651704,True,False,False,True,452.3,True,False,detected,"(22, 16, 'R1')",False,para_2051,parapsilosis
22,16,R2,478,0.9980276007403196,0.0727733229412438,2.531467222253254,-2499.107977352721,-2499.0573444413285,-674.7974230350302,1824.2599214062984,2.4461475101177386,True,False,False,True,478.35,True,False,detected,"(22, 16, 'R2')",False,para_2051,parapsilosis
22,16,R3,456,0.998147619612289,0.0757151171527382,2.614147208246514,-2347.669025543564,-2347.615928198431,-829.4053844290476,1518.2105437693835,1.7951882987659935,True,False,False,True,456.28,True,False,detected,"(22, 16, 'R3')",False,para_2051,parapsilosis
22,16,R4,402,0.9972787142502508,0.0605178202030046,1.472287437973525,-2249.0731964390907,-2249.012894931553,-1017.1501088521854,1231.8627860793677,1.9154399087821297,True,False,False,True,402.18,True,False,detected,"(22, 16, 'R4')",False,para_2051,parapsilosis
22,16,R5,389,0.9971363152591568,0.059367487213388,1.3710299312943657,-2191.0786563937368,-2191.016318731399,-1134.8742615424096,1056.1420571889896,1.631322542904598,True,False,False,True,389.12,True,False,detected,"(22, 16, 'R5')",False,para_2051,parapsilosis
22,17,R1,512,0.996318040801868,0.1180412966454617,7.134078829435856,-2182.002042030621,-2181.9547979361328,-480.7671862205329,1701.1876117155998,2.6233710491951627,True,False,False,True,512.4200000000001,True,False,detected,"(22, 17, 'R1')",False,para_2052,parapsilosis
22,17,R2,393,0.9966568638315084,0.0659533179161071,1.709487176648238,-2130.983159930647,-2130.9214632725493,-959.9126376649524,1171.008825607597,2.022039944395903,True,False,False,True,393.13,True,False,detected,"(22, 17, 'R2')",False,para_2052,parapsilosis
22,17,R3,417,0.9981946484671332,0.0634502062011846,1.67881225412768,-2293.7548623944667,-2293.6967510143213,-609.2313539876905,1684.4653970266309,2.64250449415527,True,False,False,True,417.18,True,False,detected,"(22, 17, 'R3')",False,para_2052,parapsilosis
22,17,R4,372,0.999510275302215,0.0204429887735926,0.1554646738789721,-2888.245785086758,-2888.1805676954536,-1025.9093193806502,1862.271248314804,2.1922587640340456,True,False,False,True,372.09,True,False,detected,"(22, 17, 'R4')",False,para_2052,parapsilosis
22,17,R5,485,0.9976319005758454,0.0622022243874996,1.8765216085951328,-2688.0435824789506,-2687.9936864290544,-1032.62276104458,1655.3709253844745,2.2265438295251645,True,False,False,True,485.35,True,False,detected,"(22, 17, 'R5')",False,para_2052,parapsilosis
22,18,R1,597,0.9982508107619706,0.0536917143478926,1.721031713200572,-3485.8489219760745,-3485.808449800695,-1091.3603454071042,2394.448104393591,2.616513838780591,True,False,False,True,597.69,True,False,detected,"(22, 18, 'R1')",False,para_2053,parapsilosis
22,18,R2,538,0.9963392216504844,0.0670118644566333,2.4159374081393614,-2902.304898956721,-2902.2599551364965,-1045.4396706767209,1856.820284459776,2.8107070539586454,True,False,False,True,538.4799999999999,True,False,detected,"(22, 18, 'R2')",False,para_2053,parapsilosis
22,18,R3,538,0.9965941611281328,0.0705176581144917,2.675334177002361,-2847.4359327592124,-2847.3909889389874,-917.5079411950236,1929.883047743964,2.9194352851289254,True,False,False,True,538.5,True,False,detected,"(22, 18, 'R3')",False,para_2053,parapsilosis
22,18,R4,555,0.9964864041162788,0.0830760933295145,3.830408692006286,-2755.678117523887,-2755.634560355103,-861.404438272861,1894.230122082242,2.676314591061536,True,False,False,True,555.5500000000001,True,False,detected,"(22, 18, 'R4')",False,para_2053,parapsilosis
22,18,R5,585,0.998496296838022,0.0549340732245366,1.7653851546076742,-3388.8971332056085,-3388.855825116108,-931.7687527393514,2457.087072376756,2.629431383420816,True,False,False,True,585.6500000000001,True,False,detected,"(22, 18, 'R5')",False,para_2053,parapsilosis
22,19,R1,619,0.9978408649866284,0.0981098294467573,5.958208414490456,-2868.224636365029,-2868.185611974785,-363.7147072905791,2504.470904684206,2.976171964129969,True,False,False,True,619.77,True,False,detected,"(22, 19, 'R1')",False,Hae_1724,haemulonii
22,19,R2,317,0.9982556680221956,0.0259259710390875,0.2130734438593143,-2309.6913842947183,-2309.614706978424,-1437.672974067735,871.9417329106893,1.266391103396886,True,False,False,True,316.95,True,False,detected,"(22, 19, 'R2')",False,Hae_1724,haemulonii
22,19,R3,546,0.99746340449707,0.0865314553222928,4.088280247065901,-2666.394036096681,-2666.3497556538764,-644.1486583137774,2022.2010973400988,2.653513477826652,True,False,False,True,546.56,True,False,detected,"(22, 19, 'R3')",False,Hae_1724,haemulonii
22,19,R4,558,0.997402544433142,0.0869506834389723,4.218715113581444,-2719.734222731749,-2719.690901432109,-651.5385416728146,2068.152359759295,2.6932972031338207,True,False,False,True,558.61,True,False,detected,"(22, 19, 'R4')",False,Hae_1724,haemulonii
22,19,R5,548,0.9973200179697972,0.0858273178000647,4.036748007452809,-2685.1380555381656,-2685.093937891106,-642.099106217992,2042.9948316731147,2.784588526731101,True,False,False,True,548.56,True,False,detected,"(22, 19, 'R5')",False,Hae_1724,haemulonii
22,20,R1,401,0.9985225618268708,0.0368600541042924,0.544824099017119,-2641.102740845341,-2641.0422874448373,-999.4892773079536,1641.5530101368836,2.440563975976444,True,False,False,True,401.1,True,False,detected,"(22, 20, 'R1')",False,Hae_1768,haemulonii
22,20,R2,372,0.9985884964425588,0.0364193464305076,0.4934091915262224,-2458.61543174095,-2458.5502143496456,-999.2299312402624,1459.3202831093831,2.169642558730178,True,False,False,True,372.07,True,False,detected,"(22, 20, 'R2')",False,Hae_1768,haemulonii
22,20,R3,319,0.9987399799280464,0.0252865587303816,0.2039718067235882,-2340.233707339052,-2340.157516862861,-1080.6556864509926,1259.501830411869,2.0368763986827907,True,False,False,True,318.91,True,False,detected,"(22, 20, 'R3')",False,Hae_1768,haemulonii
22,20,R4,460,0.9994203473727822,0.0331427691225504,0.5052838467509149,-3128.3762551869995,-3128.323623608052,-676.548227331616,2451.775396276436,2.930477405292435,True,False,False,True,460.3,True,False,detected,"(22, 20, 'R4')",False,Hae_1768,haemulonii
22,20,R5,446,0.9989604310039564,0.047204380342967,0.9938010715093168,-2717.5155794436373,-2717.4612808011034,-591.1099733477816,2126.3513074533216,2.981631448149169,True,False,False,True,446.3,True,False,detected,"(22, 20, 'R5')",False,Hae_1768,haemulonii
22,21,R1,479,0.9973270539655896,0.0793122353790692,3.013116296115117,-2421.919629409429,-2421.86910309364,-780.9560644339659,1640.9130386596744,2.311845480106506,True,False,False,True,479.36,True,False,detected,"(22, 21, 'R1')",False,Hae_1769,haemulonii
22,21,R2,475,0.9971175609972616,0.0798310408362389,3.0271726634736944,-2395.450723887833,-2395.3997684738206,-764.4506555458174,1630.9491129280032,2.4214430569538368,True,False,False,True,475.38,True,False,detected,"(22, 21, 'R2')",False,Hae_1769,haemulonii
22,21,R3,519,0.9970487871466572,0.0965230585703229,4.835367733764631,-2420.8163375757736,-2420.769735634026,-635.5523718283845,1785.2173638056415,2.460502313689393,True,False,False,True,519.48,True,False,detected,"(22, 21, 'R3')",False,Hae_1769,haemulonii
22,21,R4,474,0.9987580236310318,0.0531363712006802,1.3383266496344517,-2776.2791598291,-2776.2280959993127,-776.3340544577156,1999.894041541597,2.359379105290884,True,False,False,True,474.36,True,False,detected,"(22, 21, 'R4')",False,Hae_1769,haemulonii
22,21,R5,558,0.9995708201988964,0.0456145603060796,1.1610239664496742,-3439.681592253511,-3439.638270953872,-401.915990438924,3037.722280514948,2.647742644931596,True,False,False,True,558.56,True,False,detected,"(22, 21, 'R5')",False,Hae_1769,haemulonii
22,22,R1,509,0.9969092113419572,0.074531918682649,2.827498513381162,-2637.265307176824,-2637.217782424349,-879.4628381719484,1757.7549442524,2.572616274992628,True,False,False,True,509.57,True,False,detected,"(22, 22, 'R1')",False,Duo_1770,duobushaemulonii
22,22,R2,536,0.9975310356756304,0.0881305037156568,4.16310432725402,-2597.8199990616404,-2597.7748862796857,-518.5743831779041,2079.2005031017816,2.900491660211656,True,False,False,True,536.68,True,False,detected,"(22, 22, 'R2')",False,Duo_1770,duobushaemulonii
22,22,R3,520,0.9976724611983095,0.0720283160082483,2.697800719631727,-2729.9237977627126,-2729.8772861348057,-710.3588544309855,2019.51843170382,2.790858015345667,True,False,False,True,520.65,True,False,detected,"(22, 22, 'R3')",False,Duo_1770,duobushaemulonii
22,22,R4,495,0.9972581756726348,0.0679644517183135,2.286487515198631,-2655.8827745521794,-2655.8338947151124,-888.97825847993,1766.8556362351824,2.556244089373708,True,False,False,True,495.55,True,False,detected,"(22, 22, 'R4')",False,Duo_1770,duobushaemulonii
