T,OTU,Replicate,fit_start,fit_end
28,10,R1,78.2,384.2
28,10,R2,65.2,376.2
28,10,R3,83.2,370.2
28,10,R4,96.3,405.3
28,10,R5,68.2,393.2
28,11,R1,71.2,346
28,11,R2,74.2,374.2
28,11,R3,87.3,356.1
28,11,R4,97.3,349.6
28,11,R5,87.3,359.1
28,12,R1,69.2,322
28,12,R2,42.1,371.2
28,12,R3,83.2,354.1
28,12,R4,69.2,360.1
28,12,R5,69.2,384.2
28,13,R1,69.2,677.4
28,13,R2,133.4,458.6
28,13,R3,130.4,452.6
28,13,R4,187.7,489.7
28,13,R5,102.4,446.6
28,14,R1,128.4,472.6
28,14,R2,147.5,452.6
28,14,R3,133.4,497.8
28,14,R4,176.6,539.9
28,14,R5,156.6,485.7
28,15,R1,122.4,366.3
28,15,R2,77.2,354.2
28,15,R3,171.6,471.6
28,15,R4,81.3,380.3
28,15,R5,130.4,389.4
28,16,R1,68.2,351.9
28,16,R2,88.2,328.9
28,16,R3,89.2,352.9
28,16,R4,89.2,407
28,16,R5,68.2,344.9
28,17,R1,87.2,321.8
28,17,R2,77.2,347.9
28,17,R3,96.2,357.9
28,17,R4,86.2,307.8
28,17,R5,60.1,353.9
28,18,R1,65.2,326.8
28,18,R2,72.2,350.9
28,18,R3,84.2,343.9
28,18,R4,81.2,280.7
28,18,R5,75.2,328.9
30,1,R1,72.2,293.8
30,1,R2,80.2,279.8
30,1,R3,78.2,239.7
30,1,R4,54.1,223.7
30,1,R5,59.1,263.7
30,2,R1,70.2,283.8
30,2,R2,80.2,256.7
30,2,R3,61.1,270.8
30,2,R4,88.2,239.7
30,2,R5,66.2,260.7
30,3,R1,69.2,298.9
30,3,R2,95.2,322.9
30,3,R3,88.2,299.9
30,3,R4,85.2,313.9
30,3,R5,69.2,301.9
30,4,R1,69.2,331
30,4,R2,79.2,356.1
30,4,R3,54.1,422.4
30,4,R4,74.2,295.9
30,4,R5,82.2,309
30,5,R1,72.2,411.3
30,5,R2,77.2,330
30,5,R3,57.1,370.2
30,5,R4,91.2,334.1
30,5,R5,81.2,381.2
30,6,R1,77.2,461.6
30,6,R2,91.2,386.2
30,6,R3,92.2,396.2
30,6,R4,85.2,377.2
30,6,R5,66.2,426.4
30,7,R1,71.2,319
30,7,R2,73.2,277.9
30,7,R3,70.2,294.9
30,7,R4,80.2,256.8
30,7,R5,77.2,304
30,8,R1,67.2,330.1
30,8,R2,83.2,295.9
30,8,R3,84.2,305
30,8,R4,67.2,321
30,8,R5,92.3,337.1
30,9,R1,81.2,362.2
30,9,R2,86.3,344.1
30,9,R3,90.3,320
30,9,R4,84.2,316
30,9,R5,89.3,313
30,10,R1,79.2,354.1
30,10,R2,76.2,308
30,10,R3,69.2,278.9
30,10,R4,78.2,309
30,10,R5,73.2,319
30,11,R1,82.2,339.1
30,11,R2,91.3,340.1
30,11,R3,96.3,338.1
30,11,R4,83.3,319
30,11,R5,83.3,308
30,12,R1,69.2,303
30,12,R2,72.2,263.8
30,12,R3,85.3,290.9
