T,OTU,Replicate,group,otu_label,r,K,delta_Ninoc_to_N0_min,cell_carbon_fg,N_inoculation_cells_per_L,N0_cells_per_L,CUE,growth_fgC_h,respiration_fgC_h,B_bp,B_free
32,10,R1,Clade4,Clade4_2077,0.01122643408470432,0.00235889393786344,45.1,1300,42000000,69684770.66230801,0.534574641232681,875.6618586069371,762.391634891632,0.1266420694916542,0.2101196087791904
32,10,R2,Clade4,Clade4_2077,0.01439941033045333,0.00487634989564628,91.3,1300,42000000,156387324.81642187,0.6152856592862234,1123.1540057753598,702.2647876324064,0.09094899247683577,0.33864927686193386
32,10,R3,Clade4,Clade4_2077,0.01515683448658722,0.00380195973974953,79.2,1300,42000000,139503670.0644485,0.6582454948372949,1182.2330899538033,613.8036459239374,0.07552011850080641,0.25084127844201304
32,10,R4,Clade4,Clade4_2077,0.01655248684104462,0.00299731053705644,69.2,1300,42000000,132039577.56492735,0.7163407263521236,1291.093973601481,511.25220902618696,0.057598828887627816,0.18107916748945024
32,10,R5,Clade4,Clade4_2077,0.01314077443909718,0.00488505812819164,74.2,1300,42000000,111354085.27939747,0.5091773030871248,1024.9804062495805,988.0323498869534,0.14021417169775172,0.3717481150621791
32,11,R1,Clade4,Clade4_2078,0.01184750019765754,0.00422091694366432,74.2,1300,42000000,101165130.0697856,0.4958196285542448,924.1050154172884,939.687707173942,0.14791033749595003,0.35627067932008727
32,11,R2,Clade4,Clade4_2078,0.01259327549174304,0.00478729466655041,91.3,1300,42000000,132613074.06671378,0.5471328125696714,982.2754883559572,813.0390418448343,0.12039665021070695,0.3801469021851597
32,11,R3,Clade4,Clade4_2078,0.01436405270669681,0.00344484800103561,88.3,1300,42000000,149308624.97263533,0.6831582137735478,1120.3961111223514,519.6282471205819,0.0674617291235916,0.2398242384219011
32,11,R4,Clade4,Clade4_2078,0.0141608368221341,0.00494121999460134,91.3,1300,42000000,153017764.14019912,0.6029761838973196,1104.5452721264603,727.2771142690738,0.0957751212116131,0.3489355930489902
32,11,R5,Clade4,Clade4_2078,0.01918015750907806,0.00332924390455891,97.3,1300,42000000,271482842.9754646,0.8441570114052392,1496.052285708089,276.19181757509307,0.026853465842943385,0.1735775059711143
32,12,R1,Clade4,Clade4_2079,0.01460995292166429,0.00366240340359705,73.2,1300,42000000,122378435.27337244,0.6283538020074425,1139.5763278898148,674.0139205484641,0.08603234423011323,0.2506786588043193
32,12,R2,Clade4,Clade4_2079,0.01441291745492133,0.00450105311929595,79.2,1300,42000000,131521808.3342126,0.5932568711997255,1124.207561483864,770.7684869357907,0.09972723034561444,0.3122929922670898
32,12,R3,Clade4,Clade4_2079,0.01268472589710166,0.00666363330491148,78.2,1300,42000000,113251972.7272639,0.42746740719278575,989.40861997393,1325.1739735188914,0.1948199904873481,0.5253273392714034
