Group,T_C,tax,lo,hi
Clade1,37.5,1.536839907224692,1.3767391311277195,1.733819813680882
Clade1,37.75,1.586357837152288,1.416409244066902,1.795824431211659
Clade1,38,1.6391753287800794,1.459241238875193,1.8596423212095468
Clade1,38.25,1.6964689912816546,1.505788638995933,1.9299663710721897
Clade1,38.5,1.7574133373073317,1.5546203891599388,2.0056778744478145
Clade1,38.75,1.8228742353864735,1.6073289878255854,2.0843952864720547
Clade1,39,1.8927199543252406,1.6647303691372628,2.167537212853558
Clade1,39.25,1.9664392887205593,1.7248325092621242,2.2625280940611705
Clade1,39.5,2.0462445259005957,1.7875015820491507,2.3627362070294247
Clade1,39.75,2.1313204945066397,1.8551643887060476,2.464527771218216
Clade1,40,2.221785275606849,1.928600825110193,2.5790950410146882
Clade1,40.25,2.317186836794322,2.006940728280085,2.6963042633281313
Clade1,40.5,2.4188723612297283,2.0899081130003707,2.8241986871266396
Clade1,40.75,2.5272225160587274,2.180404895984567,2.9623844249980626
Clade1,41,2.6450905044796262,2.277004354471727,3.105888403410912
Clade1,41.25,2.7707845992770004,2.37504956530192,3.2599607367964474
Clade1,41.5,2.9052214683365847,2.4796511098781364,3.4263272391591766
Clade1,41.75,3.045918870798019,2.592308054832941,3.611633389609019
Clade1,42,3.1977789587711394,2.713218511728749,3.8175742128357033
Clade1,42.25,3.358418042798082,2.8341430003139694,4.0360234854057255
Clade1,42.5,3.5316244228981604,2.968836606716994,4.248608421767324
Clade1,42.75,3.7148000386590034,3.1081488672803577,4.493903974493634
Clade1,43,3.9096265220914406,3.2573267160929067,4.758061630186339
Clade1,43.25,4.11620502862046,3.4280149475253303,5.031381125730303
Clade1,43.5,4.33256930443909,3.5858533471272045,5.312484850027869
Clade1,43.75,4.560003401067172,3.7569087156264525,5.614704988529213
Clade1,44,4.805697292095893,3.937452834367698,5.949842680742416
Clade2,22,1.787182663524276,1.5479550440457075,2.0473494671709496
Clade2,22.25,1.7523405677070913,1.5246663870919672,2.000200814191015
Clade2,22.5,1.718881428244527,1.502855236720039,1.9550385100814758
Clade2,22.75,1.6867417403477836,1.479627516388574,1.9105829818351006
Clade2,23,1.6542956836759357,1.4569375484368552,1.8674912377257469
Clade2,23.25,1.623082216863709,1.4365695983461522,1.8278295539572842
Clade2,23.5,1.5927053668676514,1.4161588858319396,1.789241875269961
Clade2,23.75,1.5642039719551701,1.3952843967322592,1.7517959855181964
Clade2,24,1.5346735417822872,1.3739111303458587,1.715043865201604
Clade2,24.25,1.5065484248688756,1.3528866711153549,1.678743908039709
Clade2,24.5,1.4792660368536386,1.3331297046197006,1.6424771377138232
Clade2,24.75,1.4529412955244063,1.3142851616924949,1.6068547517798657
Clade2,25,1.4267422631572197,1.2951173309212334,1.5735398908917524
Clade2,25.25,1.401714790049029,1.2761191673291625,1.54070930704044
Clade2,25.5,1.3771513113457141,1.2581738281868473,1.5067628377238704
Clade2,25.75,1.353224475992597,1.242630083438173,1.4765698670249598
Clade2,26,1.3299745348681618,1.2260392889341687,1.4481616233995371
Clade2,26.25,1.307067678831344,1.2086477870693553,1.4196426665757569
Clade2,26.5,1.2849021692815406,1.192286657833451,1.3923104983261618
Clade2,26.75,1.2640836634936505,1.177427813708676,1.3655199306684769
Clade2,27,1.2429076668801555,1.16140730247617,1.339400191222312
Clade2,27.25,1.2231165783316995,1.1473823481165963,1.3147139032201904
Clade2,27.5,1.2040560505208868,1.133643646806346,1.2901671657750222
Clade2,27.75,1.186059522890555,1.119588922540491,1.26693761278541
Clade2,28,1.1682914247932072,1.1055211841905568,1.2436820358004568
Clade2,28.25,1.1506217489536967,1.0933076182314172,1.2229826695854218
Clade2,28.5,1.1343300596900954,1.0805107355492574,1.2028728365931822
Clade2,28.75,1.1189026534503208,1.0689851899166654,1.1832233071529208
Clade2,29,1.1042239501698483,1.0575566400801901,1.165730395833617
Clade2,29.25,1.0906205017049493,1.0468944560495415,1.1488946454901896
Clade2,29.5,1.0773299373046499,1.03761768787319,1.1321636912644686
Clade2,29.75,1.0652344372534595,1.029118404862877,1.1159923078627032
Clade2,30,1.0537547592719507,1.0214516858149116,1.1011479677864529
Clade2,30.25,1.0432819015008494,1.014833447967045,1.0871779938567914
Clade2,30.5,1.0337372482030385,1.0094133588120502,1.074296917962837
Clade2,30.75,1.0255870526681148,1.0052287576159096,1.0627178559080561
Clade2,31,1.0183557682814175,1.0021959381389103,1.0517166762957917
Clade2,31.25,1.0122339611699405,1.0004583993171101,1.041598072965054
Clade2,31.5,1.0072176678020985,1.0000408423934484,1.032230004743868
Clade2,31.75,1.0035083925140542,1.0000132842297424,1.023992102630475
Clade2,32,1.0016571175421876,1.0000037231343555,1.017027555134206
Clade2,32.25,1.0010333963679416,1.000001907060069,1.0122446101864802
Clade2,32.5,1.0012828088096266,1.0000063834647641,1.0143243623377405
Clade2,32.75,1.002742246100907,1.0000066097589846,1.0217651982073719
Clade2,33,1.0061323807479816,1.0000302341502272,1.0315397580078955
Clade2,33.25,1.0114773752186166,1.0001861127690055,1.0432209552467442
Clade2,33.5,1.0187050577127463,1.0010225055456408,1.0571120858680016
Clade2,33.75,1.027895592994673,1.003454871845403,1.0731091944720952
Clade2,34,1.0390533028920232,1.0076241839187199,1.0921098304844685
Clade2,34.25,1.0527108184416674,1.013651224324411,1.1133256524884585
Clade2,34.5,1.0687213269306968,1.021763039146948,1.1369429475293633
Clade2,34.75,1.0872196935580816,1.0321235285315147,1.1634477406543806
Clade2,35,1.1079335407773627,1.0446019106601603,1.1932309562871801
Clade2,35.25,1.1317984454160952,1.0593174475658658,1.226391664216587
Clade2,35.5,1.159215037444536,1.077151439119156,1.2627464451685624
Clade2,35.75,1.1892860998400785,1.0975682199855714,1.3038426873337556
Clade2,36,1.2229601251114777,1.1200644526860593,1.3496081196084777
Clade2,36.25,1.2610984530229907,1.1462408111809002,1.399836711550615
Clade2,36.5,1.3030691272915391,1.1755902729363075,1.4539084836099292
Clade2,36.75,1.3492863772263246,1.2109372568841277,1.5153995424880322
Clade2,37,1.4002075694912621,1.2508268435901306,1.5813296874854625
Clade2,37.25,1.4560228016624248,1.294665713050832,1.651754251670813
Clade2,37.5,1.5178711924227102,1.341139237224968,1.726636912046842
Clade2,37.75,1.5858778115546155,1.394758905851854,1.8097275873068241
Clade2,38,1.6595055591296843,1.4503515239289986,1.9027793037305116
Clade2,38.25,1.7408668783098074,1.510166286364906,2.0007714959514074
Clade2,38.5,1.8286876163734453,1.580697555018185,2.1090834277900377
Clade2,38.75,1.9240663852073228,1.6590659502385505,2.227572697450939
Clade2,39,2.0280217135064413,1.7442498467996654,2.358875193696081
Clade2,39.25,2.1425860800433565,1.8299609882192118,2.5003298742936884
Clade2,39.5,2.266431387805672,1.9299434227019119,2.6448848164100447
Clade2,39.75,2.3987113275686536,2.0399604178825754,2.8040247784555543
Clade2,40,2.5436768973183934,2.151343089211702,2.9870086069516755
Clade2,40.25,2.7001130869577943,2.2721012231363753,3.1934580892266635
Clade2,40.5,2.8709213574980925,2.403586246488839,3.411585598512296
Clade2,40.75,3.0573518117352174,2.548243465367408,3.655628966690001
Clade2,41,3.2559305996996386,2.696567425749218,3.9099502756003517
Clade2,41.25,3.468648406224145,2.8634255131909114,4.198969577432035
Clade2,41.5,3.7015606198844706,3.0473866831775887,4.502313516717429
Clade2,41.75,3.956314206603476,3.2439514122030575,4.844876451555635
Clade2,42,4.228606254643429,3.44726685527654,5.22172822177035
Clade2,42.25,4.523226094273158,3.6596348359917927,5.639864134913496
Clade2,42.5,4.846132541747748,3.893937661330254,6.105224567716179
Clade2,42.75,5.187326137815196,4.143918002970564,6.5659575339274365
Clade2,43,5.559066120206992,4.4118143218807315,7.079640586265237
Clade2,43.25,5.958496665652649,4.699829628186965,7.657217984403645
Clade2,43.5,6.39748081111563,5.006771702245614,8.284005095990917
Clade2,43.75,6.856962333263276,5.323359257659126,8.928466135747097
Clade2,44,7.347598246983956,5.644230351984099,9.659346892764749
Clade3,22,1.2819964296490975,1.1551612935222502,1.4330968733976863
Clade3,22.25,1.2686189381784434,1.1476210030432428,1.4126748735378705
Clade3,22.5,1.2551436484734388,1.1398501512799135,1.3937865870896466
Clade3,22.75,1.242211757685434,1.13145953425387,1.3746404115926363
Clade3,23,1.2295720866759896,1.1241101883904228,1.3551066244056036
Clade3,23.25,1.217063873088279,1.1166681577934736,1.336431215540471
Clade3,23.5,1.205069388396136,1.1100311470910578,1.318148468290107
Clade3,23.75,1.1929962864516233,1.1023742547187103,1.300459580865418
Clade3,24,1.1813918086305804,1.094803690736356,1.283351243708741
Clade3,24.25,1.1701280377067558,1.0877141262761665,1.2661651312660347
Clade3,24.5,1.1593114586127897,1.081573549743765,1.2495625576484293
Clade3,24.75,1.1485132182361886,1.0755815030898677,1.2337348545544442
Clade3,25,1.138408698944565,1.069516356098596,1.218228078623305
Clade3,25.25,1.1283474048866589,1.0640083036097372,1.2034443959494796
Clade3,25.5,1.1184596599014727,1.0584457183110163,1.1892008137021304
Clade3,25.75,1.1085809304835375,1.0527814069034904,1.1751730721326608
Clade3,26,1.0993090305335333,1.0473351844094172,1.1618505218651025
Clade3,26.25,1.0903523338068246,1.04178162477971,1.1489283433001227
Clade3,26.5,1.0818836966487368,1.0363010902771386,1.1367341367637742
Clade3,26.75,1.0737436693614297,1.0312905891420945,1.1254038990636634
Clade3,27,1.0658211714809822,1.0266814552203731,1.1136481141533134
Clade3,27.25,1.0582622211493395,1.0223648958014833,1.102909972991663
Clade3,27.5,1.0510642367306462,1.018420705845399,1.0927763825370522
Clade3,27.75,1.0443202551089596,1.0149140195868722,1.0833645742336553
Clade3,28,1.038020182137921,1.011543525565155,1.0740725533155824
Clade3,28.25,1.032002073458043,1.0088908944510673,1.0653510460907307
Clade3,28.5,1.0266241403722105,1.0063964603655733,1.0569647761406071
Clade3,28.75,1.0215712168845066,1.00420083536316,1.0493515542415688
Clade3,29,1.017011614387588,1.0024368405456552,1.0422191917552261
Clade3,29.25,1.013028815692214,1.0012188381552547,1.035669133085205
Clade3,29.5,1.0094574652013584,1.0005141014642176,1.0295360614194384
Clade3,29.75,1.0063795113236296,1.0001186761283827,1.0238581880271358
Clade3,30,1.0039651797987141,1.0000277542624665,1.0189069269222446
Clade3,30.25,1.0021807950020647,1.0000026624134934,1.0143904070894076
