T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,3,R2,0.011656141915893413,0.015322870477436756,8.419353259512638,130.38,78.2,127043799.14304449,909.1790694396863,2716.403249592368,0.25076773589364143,2.9877538329896303
42,3,R3,0.011148287002607445,0.014005573227570412,9.309248222869314,153.48000000000002,73.2,114205443.57985117,869.5663862033807,2761.9872337449438,0.23944748644954725,3.1762810494596896
42,3,R4,0.015571933174724235,0.01207209212461136,8.720935042183894,133.39999999999998,69.2,159036170.2477493,1214.6107876284902,1709.5988433547411,0.41536378745189056,1.4075281240443351
42,3,R5,0.01266087132979458,0.016356985495554893,8.333560570423817,121.36999999999999,72.2,129074931.5659488,987.5479637239772,2854.0984414364743,0.2570637324656981,2.890085895852451
42,4,R1,0.004222097240816431,0.007826633849034755,8.846036027714081,287.97,77.2,70459559.99047922,329.32358478368167,2501.7428853042597,0.11632492146094044,7.596610145451762
42,4,R2,0.004917088488970548,0.005645013759743632,6.972150130521573,286.96999999999997,68.2,73047505.64641526,383.5329021397028,1740.472627394504,0.18057057611512498,4.538000827789561
42,4,R5,0.0037672802094945333,0.019719023010002678,9.076376290355798,181.57,81.2,67730825.92831619,293.8478563405736,6557.021467221573,0.04289205390766173,22.314341676264934
42,5,R1,0.0025217730469319077,0.006261059719939484,8.913099242801126,399.40000000000003,74.2,56485874.35633937,196.6982976606888,2496.4080471296134,0.07303770162704239,12.691558985609532
42,5,R2,0.002548725135589741,0.008598057559041365,8.818815737304892,363.23,73.2,56507311.13817868,198.8005605759998,3426.914658890139,0.05483071574641535,17.2379526947061
42,5,R3,0.0033020251381586183,0.013278875193046937,9.160001406766485,231.76999999999998,85.2,64360523.42821804,257.5579607763722,4646.749970604842,0.05251667806752816,18.04156996971815
42,5,R4,0.004919194166849843,0.010311873767151071,8.806836591964625,235.79999999999995,86.2,79735579.18319575,383.69714501428774,2912.6816385956763,0.11639959185579073,7.591095415857777
42,5,R5,0.002552651221722051,0.01328835631371458,9.266959980347455,244.82,83.2,58105027.9312376,199.10679529431997,5150.686698083607,0.03721765999767618,25.86896489630027
42,6,R2,0.003163996849437617,0.013863929199973722,9.600899404336522,231.76000000000002,79.2,57315505.13538203,246.79175425613414,5447.8079717387845,0.0433378579937006,22.074513746049828
42,6,R4,0.0038836263808923,0.012400405740290932,8.528758320372546,288.97,72.2,59799676.136127315,302.9228577095994,4670.298582146184,0.06091079220441544,15.417451880186016
