parameter,Estimate,r_squared,rmse_log,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
E,1.6449608041386894,0.889145659785082,0.17657894642794242,51,6,Clade2_2073,13,1300
Eh,2.711763307926593,0.889145659785082,0.17657894642794242,51,6,Clade2_2073,13,1300
Th,305.68284731923535,0.889145659785082,0.17657894642794242,51,6,Clade2_2073,13,1300
lnB0,5.503184978858439,0.9059625209201461,0.11610086530530214,57,7,Clade3_2074,13,1300
E,1.2039662737426362,0.9059625209201461,0.11610086530530214,57,7,Clade3_2074,13,1300
Eh,1.9786697392941577,0.9059625209201461,0.11610086530530214,57,7,Clade3_2074,13,1300
Th,306.7044506915906,0.9059625209201461,0.11610086530530214,57,7,Clade3_2074,13,1300
lnB0,5.766118506836987,0.8227949664172729,0.17356735691342923,60,8,Clade3_2075,13,1300
E,0.7577252558535025,0.8227949664172729,0.17356735691342923,60,8,Clade3_2075,13,1300
Eh,3.2173479311150928,0.8227949664172729,0.17356735691342923,60,8,Clade3_2075,13,1300
Th,312.2347210136377,0.8227949664172729,0.17356735691342923,60,8,Clade3_2075,13,1300
lnB0,5.628688423651742,0.8784450472106392,0.13708910989379003,59,9,Clade3_2076,13,1300
E,0.8770862490993133,0.8784450472106392,0.13708910989379003,59,9,Clade3_2076,13,1300
Eh,2.7731422224953506,0.8784450472106392,0.13708910989379003,59,9,Clade3_2076,13,1300
Th,311.1430394699282,0.8784450472106392,0.13708910989379003,59,9,Clade3_2076,13,1300
lnB0,5.540603360819415,0.9175325599673171,0.12138385111809165,60,10,Clade4_2077,13,1300
E,1.0218086680638387,0.9175325599673171,0.12138385111809165,60,10,Clade4_2077,13,1300
Eh,2.1193351851332465,0.9175325599673171,0.12138385111809165,60,10,Clade4_2077,13,1300
Th,310.29352479810814,0.9175325599673171,0.12138385111809165,60,10,Clade4_2077,13,1300
lnB0,5.644362817531268,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,13,1300
E,1.0515848146842157,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,13,1300
Eh,2.2012753150040205,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,13,1300
Th,309.4027535183748,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,13,1300
lnB0,5.651938208785073,0.930177342040585,0.10987360781654645,55,12,Clade4_2079,13,1300
E,0.9596046712753032,0.930177342040585,0.10987360781654645,55,12,Clade4_2079,13,1300
Eh,2.6960856993352462,0.930177342040585,0.10987360781654645,55,12,Clade4_2079,13,1300
Th,310.82579138716574,0.930177342040585,0.10987360781654645,55,12,Clade4_2079,13,1300
lnB0,4.582662650525109,0.6557958296929027,0.3029418135770777,49,13,glab_2048,8,800
E,0.9308850735036608,0.6557958296929027,0.3029418135770777,49,13,glab_2048,8,800
Eh,4.698639743103217,0.6557958296929027,0.3029418135770777,49,13,glab_2048,8,800
Th,310.04699511604514,0.6557958296929027,0.3029418135770777,49,13,glab_2048,8,800
lnB0,4.951154547122707,0.5461647509419324,0.4159741048465139,60,14,glab_2049,8,800
E,0.5250918746086993,0.5461647509419324,0.4159741048465139,60,14,glab_2049,8,800
Eh,6.703783748706945,0.5461647509419324,0.4159741048465139,60,14,glab_2049,8,800
Th,314.6831802198461,0.5461647509419324,0.4159741048465139,60,14,glab_2049,8,800
lnB0,4.953062375518565,0.7994585487203414,0.26437729150572276,59,15,glab_2050,8,800
E,0.8398263057112518,0.7994585487203414,0.26437729150572276,59,15,glab_2050,8,800
Eh,5.071164959974731,0.7994585487203414,0.26437729150572276,59,15,glab_2050,8,800
Th,313.2792272999171,0.7994585487203414,0.26437729150572276,59,15,glab_2050,8,800
lnB0,6.695874587148934,0.7098832594935842,0.18393998689554758,45,16,para_2051,38,3800
E,0.9791430054630746,0.7098832594935842,0.18393998689554758,45,16,para_2051,38,3800
Eh,2.663961084999309,0.7098832594935842,0.18393998689554758,45,16,para_2051,38,3800
Th,307.4676140265629,0.7098832594935842,0.18393998689554758,45,16,para_2051,38,3800
lnB0,6.914008498586522,0.8023002392340379,0.15119266062318426,49,17,para_2052,38,3800
E,0.7814557312155659,0.8023002392340379,0.15119266062318426,49,17,para_2052,38,3800
Eh,3.4064977233660216,0.8023002392340379,0.15119266062318426,49,17,para_2052,38,3800
Th,309.6633689641966,0.8023002392340379,0.15119266062318426,49,17,para_2052,38,3800
lnB0,6.790425215974202,0.7445184235476259,0.16267952090085258,43,18,para_2053,38,3800
E,0.838659544326025,0.7445184235476259,0.16267952090085258,43,18,para_2053,38,3800
Eh,2.995320716422988,0.7445184235476259,0.16267952090085258,43,18,para_2053,38,3800
Th,308.55830825351137,0.7445184235476259,0.16267952090085258,43,18,para_2053,38,3800
