Group,Isolate,T,CUE,lo,hi
Clade4,Clade4_2078,31.2436974789916,0.5694558156089499,0.5458979783334337,0.5934624276508059
Clade4,Clade4_2078,31.42857142857143,0.5711855106020212,0.5477136018210507,0.5950553628794262
Clade4,Clade4_2078,31.613445378151262,0.5728061282043554,0.5494604646466908,0.5966914193509313
Clade4,Clade4_2078,31.798319327731093,0.5743488029974251,0.551138108834228,0.5980965455572346
Clade4,Clade4_2078,31.983193277310924,0.5757866533282874,0.5526518675656539,0.5994004365972978
Clade4,Clade4_2078,32.168067226890756,0.5770969938014496,0.5540213192742568,0.6006876339397501
Clade4,Clade4_2078,32.35294117647059,0.5783171988536778,0.5552556908442495,0.6017814404200121
Clade4,Clade4_2078,32.53781512605042,0.5794543236618876,0.5562979825253689,0.6028488999943888
Clade4,Clade4_2078,32.72268907563026,0.5804149359694675,0.557190372492339,0.6038352541384759
Clade4,Clade4_2078,32.90756302521008,0.5812718238841783,0.558089591138454,0.6048281516878742
Clade4,Clade4_2078,33.09243697478992,0.5820301323211954,0.558831630427835,0.6055184473733444
Clade4,Clade4_2078,33.27731092436975,0.5826143283884129,0.5593736081646135,0.6061868995434505
Clade4,Clade4_2078,33.46218487394958,0.5830947005927227,0.5596325048551039,0.6067479931814189
Clade4,Clade4_2078,33.64705882352941,0.5835003921491173,0.5600444591627137,0.6071768874198867
Clade4,Clade4_2078,33.831932773109244,0.5837189733799394,0.5602586694272753,0.6075164110927915
Clade4,Clade4_2078,34.016806722689076,0.5838548706979063,0.5603977072927377,0.6076772735567842
Clade4,Clade4_2078,34.20168067226891,0.5838641091576215,0.5603824688946163,0.6077559964787744
Clade4,Clade4_2078,34.38655462184874,0.5837191063086126,0.5600985627863377,0.6077089787628507
Clade4,Clade4_2078,34.57142857142857,0.5834010429281713,0.5596738490001881,0.6074057314659213
Clade4,Clade4_2078,34.75630252100841,0.5829476063723782,0.5591552930789047,0.6071569133066816
Clade4,Clade4_2078,34.94117647058823,0.5823381999364564,0.5584450785760087,0.6066810403886229
Clade4,Clade4_2078,35.12605042016807,0.5816658981386469,0.5575733513667284,0.6061918942784855
Clade4,Clade4_2078,35.3109243697479,0.5808289543354751,0.5565446605759298,0.605595039876978
Clade4,Clade4_2078,35.49579831932773,0.5798652856767573,0.5553284034278935,0.6046920455752146
Clade4,Clade4_2078,35.680672268907564,0.5787188399896697,0.5539854953300026,0.6036418354286478
Clade4,Clade4_2078,35.865546218487395,0.577442482719067,0.5525240394193686,0.6025058771852603
Clade4,Clade4_2078,36.05042016806723,0.5759885529556314,0.5507969435115165,0.6013098133569471
Clade4,Clade4_2078,36.23529411764706,0.5743817624091951,0.549031962213171,0.5999189758042439
Clade4,Clade4_2078,36.42016806722689,0.5726913915749913,0.5470566804608705,0.5984284818390871
Clade4,Clade4_2078,36.60504201680672,0.5707836996413977,0.5449800142316882,0.5966734344651148
Clade4,Clade4_2078,36.78991596638656,0.5687362145545449,0.5426982629724324,0.594852398917486
Clade4,Clade4_2078,36.97478991596638,0.5665581169246017,0.5402935506905115,0.5929904498156281
Clade4,Clade4_2078,37.15966386554622,0.5642250300092719,0.537664993756676,0.5909125830241718
Clade4,Clade4_2078,37.34453781512605,0.5617079441697724,0.5348717980004805,0.58866082719649
Clade4,Clade4_2078,37.529411764705884,0.559075401395577,0.5320234292786111,0.5862622782391825
Clade4,Clade4_2078,37.714285714285715,0.5563028525409942,0.529009341207626,0.5837739836562703
Clade4,Clade4_2078,37.89915966386555,0.5533765493623768,0.5257552758496884,0.5811980386086574
Clade4,Clade4_2078,38.08403361344538,0.5502870142202925,0.5225082576991353,0.5783047092305976
Clade4,Clade4_2078,38.26890756302521,0.547114175971642,0.5191328046531835,0.5753342814532583
Clade4,Clade4_2078,38.45378151260505,0.543873089683359,0.5154986282989649,0.572314306851436
Clade4,Clade4_2078,38.63865546218487,0.5403705104048002,0.5118233069932713,0.5690783026986828
Clade4,Clade4_2078,38.82352941176471,0.5367660510585273,0.5079516576567508,0.5655915588037991
Clade4,Clade4_2078,39.008403361344534,0.532914361734101,0.5039322271233345,0.5621280739490702
Clade4,Clade4_2078,39.19327731092437,0.5290596288064925,0.49979015984917297,0.5584401278052248
Clade4,Clade4_2078,39.378151260504204,0.5250469100300962,0.49552297920277316,0.5546602661976368
