T,OTU,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid
22,2,R3,r,0.005277088507493177,2.2687789213642214e-5,232.59597741326215,0,480.50000000000006,TRUE,TRUE,2344.974303496475,TRUE
22,2,R3,K,0.0023239461528570915,1.6890787957517735e-5,137.58660393476504,0,480.50000000000006,TRUE,TRUE,2344.974303496475,TRUE
22,2,R3,O2_0,10.411340551584535,0.003867856157733249,2691.760015627387,0,480.50000000000006,TRUE,TRUE,2344.974303496475,TRUE
22,2,R4,r,0.0037857256304745608,1.0202550565415205e-4,37.105678684970044,5.597877605562723e-133,412.33000000000004,TRUE,TRUE,636.6202126352672,TRUE
22,2,R4,K,0.005415488167106905,1.39807319023935e-4,38.73536954227535,6.317191642691819e-139,412.33000000000004,TRUE,TRUE,636.6202126352672,TRUE
22,2,R4,O2_0,10.888941000916384,0.019664610226363368,553.7328670932984,0,412.33000000000004,TRUE,TRUE,636.6202126352672,TRUE
22,2,R5,r,0.0038932730840364024,2.2241198366929463e-5,175.047810815146,0,494.54999999999995,TRUE,TRUE,2074.298491973689,TRUE
22,2,R5,K,0.0032301255313474508,2.2539102606119617e-5,143.31207359029617,0,494.54999999999995,TRUE,TRUE,2074.298491973689,TRUE
22,2,R5,O2_0,10.04021777070278,0.00428693078728358,2342.0526873177673,0,494.54999999999995,TRUE,TRUE,2074.298491973689,TRUE
22,3,R1,r,0.004951858423273577,4.89243839939816e-5,101.21452778808062,0,510.59000000000003,TRUE,TRUE,1626.5106341241233,TRUE
22,3,R1,K,0.0017656197437796476,2.9388472181094243e-5,60.07865032587438,1.036988965593594e-232,510.59000000000003,TRUE,TRUE,1626.5106341241233,TRUE
22,3,R1,O2_0,9.98644203228871,0.007131960809037709,1400.237928906419,0,510.59000000000003,TRUE,TRUE,1626.5106341241233,TRUE
22,3,R2,r,0.005069813378800439,4.01166499183498e-5,126.37678841875204,0,530.5999999999999,TRUE,TRUE,1908.039813589814,TRUE
22,3,R2,K,0.0019146586990872847,2.7483300602586054e-5,69.66625758578371,4.90738837620487e-268,530.5999999999999,TRUE,TRUE,1908.039813589814,TRUE
22,3,R2,O2_0,10.577661421672753,0.007357584779017215,1437.654031773951,0,530.5999999999999,TRUE,TRUE,1908.039813589814,TRUE
22,3,R3,r,0.004726998769106449,4.4233111773956195e-5,106.86561671859668,0,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R3,K,0.0020517212672499984,2.9253587684238946e-5,70.1357142719083,5.136661441452713e-257,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R3,O2_0,10.527535699450967,0.006346942155734458,1658.6783747413463,0,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R4,r,0.004714949946162854,3.427332440158757e-5,137.5690869936286,0,581.77,TRUE,TRUE,2127.0569605489404,TRUE
22,3,R4,K,0.0021517598568328556,2.9039115886801292e-5,74.09866971228494,2.671425719912572e-297,581.77,TRUE,TRUE,2127.0569605489404,TRUE
22,3,R4,O2_0,9.650380256114294,0.008693639515870873,1110.0506569770716,0,581.77,TRUE,TRUE,2127.0569605489404,TRUE
22,3,R5,r,0.004846197373009392,3.5848102467576185e-5,135.18699845808212,0,433.40999999999997,TRUE,TRUE,1672.5904002568436,TRUE
