"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_004720",0.359407212791682,5.71805747157551,0.00179038346316766,0.0042132181278904,FALSE
"CJI97_003611",0.566949503142856,5.57076325331423,0.00180040925837795,0.00423496441072686,FALSE
"CJI97_000982",-0.274778376628451,5.92462289297706,0.00180187673407116,0.00423551220042533,FALSE
"CJI97_000073",0.405422176214459,6.3037478210232,0.00180221201115207,0.00423551220042533,FALSE
"CJI97_000353",-0.342170243964205,6.45327769832904,0.00181644477088561,0.00426710317096158,FALSE
"CJI97_002886",1.45073739881923,8.26568922943976,0.00182205007481051,0.00427840826965948,FALSE
"CJI97_002878",0.36547133513499,6.74079152164679,0.001832499232271,0.00430107257822285,TRUE
"CJI97_003150",-0.967228241096554,5.81132596231465,0.0018461310231436,0.00433118391342734,TRUE
"CJI97_004852",0.745670069820614,5.10352065221974,0.00184909000582506,0.00433624062209127,TRUE
"CJI97_002375",-0.645285814911526,7.54313727540294,0.00185278738311591,0.00434302377032729,TRUE
"CJI97_000494",0.499737036173003,7.43813085732274,0.00189575831946094,0.00444182018749944,TRUE
"CJI97_002409",0.911200554680544,8.4130724557447,0.00190607388158458,0.00446405150391944,FALSE
"CJI97_004616",0.291098166925311,5.54144243658289,0.00190892103655798,0.0044687800057557,FALSE
"CJI97_003472",1.53196927063824,7.78302378023857,0.00191071019290917,0.00447102870812572,FALSE
"CJI97_003131",-0.489309956285622,5.19689254840666,0.00191220092985755,0.00447257746749517,FALSE
"CJI97_002857",-1.08503706153372,5.9917627251584,0.00192328527979391,0.00449655431965681,FALSE
"CJI97_005010",0.359539485560357,6.04615888024074,0.0019397505265694,0.00453308524961823,FALSE
"CJI97_002978",1.31113943018142,5.12583611238221,0.00194733372904494,0.00454883671079068,FALSE
"CJI97_001372",0.472743102518385,5.30290527954046,0.00195827003840839,0.00457240377639622,FALSE
"CJI97_002843",0.668888550956156,6.4862505561961,0.00196129541281107,0.00457748704477878,FALSE
"CJI97_000351",-1.04808879192244,7.55175674472466,0.00196514410883922,0.00458448664561021,TRUE
"CJI97_003677",0.517658955893732,7.6065118715507,0.00197439773529197,0.00460408391514065,FALSE
"CJI97_004222",-0.397349156131541,7.75620078140957,0.00197864722681167,0.00461200018828326,TRUE
"CJI97_004351",0.498225127806635,4.99414874720775,0.00198603593427251,0.00462722361888361,TRUE
"CJI97_000953",0.498090325242535,5.61134653218091,0.0020026459537136,0.0046639091783507,FALSE
"CJI97_003204",0.521476775315593,6.50362790628694,0.00203685898899804,0.00474154059733969,FALSE
"CJI97_000258",-0.814939373477026,4.73169388460115,0.00204493134751563,0.00475827923725501,FALSE
"CJI97_002972",0.477365742049815,1.7666325467711,0.00205440737458432,0.0047782681867487,FALSE
"CJI97_002692",-0.344791112965954,6.51272439861766,0.00206414843922928,0.00479885608706643,FALSE
"CJI97_001557",1.48794499196516,5.352760957436,0.00207543869138824,0.00482302634742934,FALSE
"CJI97_003711",0.807808305430074,8.9545899141944,0.00210243778080628,0.00488366520242389,FALSE
"CJI97_000583",0.968077686269711,8.9628816244247,0.00210973451621542,0.00489850578721962,FALSE
"CJI97_002665",0.441876353280408,7.62052089852605,0.00211472822746083,0.00490798860876501,FALSE
"CJI97_004988",0.541202253770806,6.73760157219944,0.00211642973925564,0.00490982582675127,FALSE
"CJI97_004637",0.920655686563353,5.01722561990117,0.00211851744717779,0.00491051542478776,FALSE
"CJI97_005167",0.360889128161307,5.35581422465039,0.00211854705502333,0.00491051542478776,FALSE
"CJI97_000940",0.720432355732275,5.06737629110849,0.00212141890524829,0.00491506071821372,FALSE
"CJI97_001023",0.408381201362727,4.5583949374516,0.00212589783095588,0.00492332390379311,FALSE
"CJI97_005517",-0.858430343718057,5.06033072671049,0.00213055435081777,0.00493199110982955,FALSE
"CJI97_002065",-0.555833940502935,5.17295398963303,0.00215008811310195,0.00497507523940743,FALSE
"CJI97_004141",-0.795600273374704,5.92818329765114,0.00216660751760093,0.00501115052077781,FALSE
"CJI97_002024",0.532775022077169,13.5321133522596,0.0021691484298385,0.00501487786092912,TRUE
"CJI97_005197",0.344218007133748,5.0360028130873,0.00217614171176522,0.00502889108209214,FALSE
"CJI97_004989",1.3679339795526,8.10136854690585,0.00218150003638635,0.00503911566624175,TRUE
"CJI97_004477",-0.521741419163414,2.1073953451668,0.00218353587152293,0.00504166006107732,FALSE
"CJI97_000333",-0.334808474384421,3.31648768581819,0.00221768953072296,0.00511832878861467,FALSE
"CJI97_002713",2.71608665775082,7.90053601491068,0.00222125561306917,0.00512236526681197,TRUE
"CJI97_001695",0.484049891827769,7.24619287597531,0.00222133705047072,0.00512236526681197,FALSE
"CJI97_005510",-0.782630367186624,6.69012472164472,0.00223290488828872,0.0051468409983793,FALSE
"CJI97_001564",0.876361348372456,8.25320802934001,0.00225290992248961,0.00519073524413062,FALSE
"CJI97_002656",-0.484178896785467,4.31292279343244,0.00228522104572124,0.00526225637550164,FALSE
"CJI97_003452",-0.410861783165228,5.14487442644926,0.00228590232471754,0.00526225637550164,FALSE
"CJI97_002322",0.318751745274692,5.83129802181046,0.00230136124826585,0.00529558434782197,FALSE
"CJI97_005476",-0.764204632690307,5.79304301240159,0.00232145515707456,0.00533954476878702,TRUE
"CJI97_000705",0.339990856249337,8.49447266670389,0.00232317507754682,0.00534122399592784,FALSE
"CJI97_000952",-0.855142474995323,5.92989730465117,0.00237453498173887,0.00545698073316138,FALSE
"CJI97_004661",0.335190139358604,5.28262165222348,0.00238582207822742,0.00548058575313545,FALSE
"CJI97_005320",-0.647288373686686,6.24491078863297,0.00239729782435409,0.00550460385541049,TRUE
"CJI97_003984",-0.704222582174234,5.89731735610207,0.00240737968595305,0.00552540229068594,FALSE
"CJI97_005159",0.470931966424059,6.14444966468135,0.00243579675863762,0.00558824800578597,FALSE
"CJI97_003217",0.305712076884149,3.61643009596388,0.00245696841776852,0.00563442481184826,FALSE
"CJI97_000532",0.583806432626218,6.84115197215859,0.00247178404574614,0.00566599265541468,FALSE
"CJI97_004427",0.647117487210262,6.23083828859478,0.00249210641400017,0.00571015125687683,FALSE
"CJI97_005097",-0.589482422369849,3.77792110112753,0.0025017639959035,0.00572984657126286,FALSE
"CJI97_003422",0.346646525266604,6.98422130224568,0.00251238783364712,0.00575173727210855,FALSE
"CJI97_000584",-0.964826518112343,3.45085061742705,0.00252534383619129,0.00577894628502469,TRUE
"CJI97_003574",1.51583762508806,10.1398609285022,0.0025330991933407,0.00579216623189887,FALSE
"CJI97_000715",-0.943311624703636,6.53593043888093,0.00253326766257993,0.00579216623189887,FALSE
"CJI97_003152",0.328897988267906,5.60771462022781,0.00256070418335524,0.00585241837076868,FALSE
"CJI97_003896",-0.274959852370216,4.76456023912908,0.00257032227462745,0.00587191320655789,FALSE
"CJI97_000185",-0.415991722154374,6.40958451792481,0.00261496229373343,0.00596954667373517,TRUE
"CJI97_003250",0.406906326686536,6.29956213585908,0.00261527211577278,0.00596954667373517,FALSE
"CJI97_002198",0.379944260672956,5.13636295807878,0.00262064945953879,0.00597929153643607,FALSE
"CJI97_000287",-0.445911436224484,7.174243626867,0.00262222141663806,0.00598034943540955,FALSE
"CJI97_002217",0.383041379309217,6.61234989214558,0.00262506957501918,0.00598431576966772,FALSE
"CJI97_005364",1.25118161220225,7.67450511325821,0.00262916390984743,0.00599111843645977,FALSE
"CJI97_003693",-1.16041434560065,6.02629852279379,0.00264786685172959,0.0060311901781059,FALSE
"CJI97_004221",-0.442843765248005,8.25332300266786,0.00268013635179104,0.00610211635201032,FALSE
"CJI97_002225",0.386505249634994,6.92353310856061,0.00274429785235936,0.0062455635644585,FALSE
"CJI97_000651",-1.21802551427133,6.19048384033619,0.00275140133822094,0.00625909005946046,FALSE
"CJI97_002149",0.397965937421127,5.45528730951874,0.00275477271548575,0.00626259774588351,FALSE
"CJI97_002022",-0.702766882370379,4.46772315443155,0.00275526446418226,0.00626259774588351,FALSE
"CJI97_003505",0.415912235245516,4.29412800733672,0.00278647910897566,0.0063308805355927,FALSE
"CJI97_002718",0.418952371846168,7.96680980042252,0.00278844876003133,0.00633268918734389,FALSE
"CJI97_001630",0.631595376492419,6.22167744785882,0.00279108860634452,0.0063360177197455,FALSE
"CJI97_003947",0.414290730602934,6.03517315635619,0.00281545198066274,0.00638863704274858,TRUE
"CJI97_000900",-0.359028079152185,6.85447929086813,0.0028306957310873,0.00642052718156666,FALSE
"CJI97_005540",0.550078330336057,6.71308800295175,0.00284048857588285,0.00644003208212768,FALSE
"CJI97_003840",-0.347405434557315,6.98538004670769,0.00284172946967346,0.00644013952891978,FALSE
"CJI97_001903",0.265713792392045,6.03005949022457,0.00284417933955529,0.00644298560715379,TRUE
"CJI97_001902",-0.296204163531311,6.48446687869474,0.00285106748907095,0.00645587921570577,FALSE
"CJI97_004026",-0.273682624353406,4.92980999690208,0.00288027569896524,0.00651710990189761,FALSE
"CJI97_000014",1.27143387243671,7.06459281138081,0.00288157560169349,0.00651710990189761,FALSE
"CJI97_003557",0.397888771579821,4.92411573861856,0.00288173169494583,0.00651710990189761,FALSE
