param,relative,n,rid,mu40,mu34
Tm,duobushaemulonii,21,R07509__cyto,0.3557,0.4956
Tm,duobushaemulonii,22,R02082__cyto,0.3554,0.4954
Tm,duobushaemulonii,23,R05639__cyto,0.3551,0.4951
Tm,duobushaemulonii,24,R00519__cyto,0.3548,0.4942
Tm,duobushaemulonii,25,R00209__mito,0.3545,0.4941
Tm,duobushaemulonii,26,R01978__cyto,0.3543,0.4938
Tm,duobushaemulonii,27,R04560__cyto,0.354,0.4936
Tm,duobushaemulonii,28,R00858__cyto,0.3538,0.4934
Tm,duobushaemulonii,29,R01127__cyto,0.3535,0.4931
Tm,duobushaemulonii,30,R03646__cyto,0.3533,0.4929
Tm,duobushaemulonii,31,R03663__cyto,0.353,0.4927
Tm,duobushaemulonii,32,R02003__cyto,0.3528,0.4924
Tm,duobushaemulonii,33,R07495__cyto,0.3525,0.4922
Tm,duobushaemulonii,34,R07494__cyto,0.3523,0.492
Tm,duobushaemulonii,35,R08639__cyto,0.3521,0.4918
Tm,duobushaemulonii,36,R04953__cyto,0.3519,0.4916
Tm,duobushaemulonii,37,R04533__cyto,0.3517,0.4915
Tm,duobushaemulonii,38,R04536__cyto,0.3515,0.4913
Tm,duobushaemulonii,39,R04534__cyto,0.3513,0.4911
Tm,duobushaemulonii,40,R04566__cyto,0.3511,0.4909
Tm,duobushaemulonii,41,R04964__cyto,0.3509,0.4907
Tm,duobushaemulonii,42,R04543__cyto,0.3506,0.4906
Tm,duobushaemulonii,43,R05641__cyto,0.3504,0.4905
Tm,duobushaemulonii,44,R04954__cyto,0.3502,0.4903
Tm,duobushaemulonii,45,R04428__cyto,0.35,0.4901
Tm,duobushaemulonii,46,R04537__cyto,0.3498,0.4899
Tm,duobushaemulonii,47,R04535__cyto,0.3496,0.4898
Tm,duobushaemulonii,48,R04965__cyto,0.3494,0.4896
Tm,duobushaemulonii,49,R04568__cyto,0.3492,0.4894
Tm,duobushaemulonii,50,R04544__cyto,0.349,0.4893
Tm,duobushaemulonii,51,R08193__cyto,0.3489,0.489
Tm,duobushaemulonii,52,R03654__cyto,0.3487,0.4889
Tm,duobushaemulonii,53,R05640__cyto,0.3485,0.4888
Tm,duobushaemulonii,54,R04355__cyto,0.3483,0.4887
Tm,duobushaemulonii,55,R04952__cyto,0.3482,0.4885
Tm,duobushaemulonii,56,R04957__cyto,0.348,0.4884
Tm,duobushaemulonii,57,R04960__cyto,0.3478,0.4882
Tm,duobushaemulonii,58,R04963__cyto,0.3477,0.4881
Tm,duobushaemulonii,59,R04726__cyto,0.3475,0.488
Tm,duobushaemulonii,60,R04968__cyto,0.3473,0.4878
Tm,parapsilosis,1,T00485__cyto,0.5747,0.6637
Tm,parapsilosis,2,R01626__cyto,0.5644,0.6579
Tm,parapsilosis,3,R03118__cyto,0.559,0.656
Tm,parapsilosis,4,R07759__cyto,0.555,0.654
Tm,parapsilosis,5,R07761__cyto,0.5513,0.6524
Tm,parapsilosis,6,T02161__mito,0.5477,0.6494
Tm,parapsilosis,7,R00768__cyto,0.5451,0.6477
Tm,parapsilosis,8,R00742__cyto,0.5431,0.6465
Tm,parapsilosis,9,R01624__cyto,0.5412,0.6454
Tm,parapsilosis,10,R01123__cyto,0.5395,0.6443
Tm,parapsilosis,11,R00489__cyto,0.538,0.6433
Tm,parapsilosis,12,R00289__cyto,0.5369,0.6426
Tm,parapsilosis,13,R04560__cyto,0.5358,0.642
Tm,parapsilosis,14,R02222__cyto,0.5347,0.6415
Tm,parapsilosis,15,R01127__cyto,0.5337,0.6409
Tm,parapsilosis,16,R07495__cyto,0.5328,0.6403
Tm,parapsilosis,17,R00004__cyto,0.5319,0.6398
Tm,parapsilosis,18,R00261__cyto,0.531,0.6391
Tm,parapsilosis,19,R07505__cyto,0.5301,0.6387
Tm,parapsilosis,20,R04427__cyto,0.5293,0.6381
Tm,parapsilosis,21,R12405__cyto,0.5285,0.6377
Tm,parapsilosis,22,R11043__cyto,0.5278,0.6373
Tm,parapsilosis,23,TR2900096_CYTMEM__plas,0.5271,0.6371
Tm,parapsilosis,24,R06223__cyto,0.5265,0.6366
Tm,parapsilosis,25,R11100__cyto,0.5259,0.6363
Tm,parapsilosis,26,R05640__cyto,0.5252,0.636
Tm,parapsilosis,27,R07758__cyto,0.5246,0.6357
Tm,parapsilosis,28,R03245__cyto,0.524,0.6352
Tm,parapsilosis,29,R00127__cyto,0.5234,0.6348
Tm,parapsilosis,30,R04355__cyto,0.5229,0.6345
Tm,parapsilosis,31,R04726__cyto,0.5224,0.6342
Tm,parapsilosis,32,R04954__cyto,0.5218,0.6338
Tm,parapsilosis,33,R04957__cyto,0.5213,0.6335
Tm,parapsilosis,34,R04952__cyto,0.5208,0.6332
Tm,parapsilosis,35,R04537__cyto,0.5202,0.6329
Tm,parapsilosis,36,R04963__cyto,0.5197,0.6325
Tm,parapsilosis,37,R04960__cyto,0.5192,0.6322
Tm,parapsilosis,38,R04568__cyto,0.5187,0.6319
Tm,parapsilosis,39,R04428__cyto,0.5181,0.6316
Tm,parapsilosis,40,R04535__cyto,0.5176,0.6313
Tm,parapsilosis,41,R04965__cyto,0.5171,0.6309
Tm,parapsilosis,42,R04968__cyto,0.5166,0.6306
Tm,parapsilosis,43,R04544__cyto,0.516,0.6303
Tm,parapsilosis,44,R00858__cyto,0.5155,0.6296
Tm,parapsilosis,45,TR1000027_CYTMEM__plas,0.515,0.6292
Tm,parapsilosis,46,R00575__cyto,0.5146,0.6289
Tm,parapsilosis,47,R07760__cyto,0.5141,0.6287
Tm,parapsilosis,48,R03665__cyto,0.5137,0.6285
Tm,parapsilosis,49,R04405__cyto,0.5133,0.628
Tm,parapsilosis,50,R03658__cyto,0.5129,0.6279
Tm,parapsilosis,51,R00299__cyto,0.5125,0.6279
Tm,parapsilosis,52,R01818__cyto,0.5122,0.6273
Tm,parapsilosis,53,R00355__cyto,0.5118,0.627
Tm,parapsilosis,54,R04962__cyto,0.5115,0.6268
Tm,parapsilosis,55,R04430__cyto,0.5112,0.6266
Tm,parapsilosis,56,R04725__cyto,0.5109,0.6264
Tm,parapsilosis,57,R07396__cyto,0.5106,0.6262
Tm,parapsilosis,58,R01648__cyto,0.5104,0.626
Tm,parapsilosis,59,R00908__cyto,0.5101,0.6258
Tm,parapsilosis,60,R00590__cyto,0.5099,0.6256
Topt,haemulonii,1,R07758__cyto,0.4935,0.6955
Topt,haemulonii,2,R01626__cyto,0.4361,0.6682
Topt,haemulonii,3,R00742__cyto,0.3996,0.6481
Topt,haemulonii,4,R03118__cyto,0.3751,0.6322
Topt,haemulonii,5,R07495__cyto,0.3585,0.6198
Topt,haemulonii,6,T_ATP_synthase__mito,0.3435,0.6112
Topt,haemulonii,7,R12405__cyto,0.3319,0.6016
Topt,haemulonii,8,R03650__cyto,0.3253,0.596
Topt,haemulonii,9,R00209__mito,0.3212,0.5928
Topt,haemulonii,10,R12403__cyto,0.3172,0.5893
Topt,haemulonii,11,R08176__cyto,0.3138,0.5862
Topt,haemulonii,12,R02003__cyto,0.3107,0.5854
Topt,haemulonii,13,R01123__cyto,0.3077,0.5829
Topt,haemulonii,14,R03663__cyto,0.305,0.5805
Topt,haemulonii,15,R07509__cyto,0.3026,0.5782
Topt,haemulonii,16,R03654__cyto,0.3003,0.576
Topt,haemulonii,17,R00289__cyto,0.2981,0.5742
Topt,haemulonii,18,R02245__cyto,0.296,0.5723
Topt,haemulonii,19,R05640__cyto,0.294,0.5705
Topt,haemulonii,20,R01624__cyto,0.2922,0.5689
Topt,haemulonii,21,R00768__cyto,0.2906,0.5706
Topt,haemulonii,22,R01395__cyto,0.289,0.5692
Topt,haemulonii,23,R06223__cyto,0.2875,0.5662
Topt,haemulonii,24,R01121__cyto,0.2864,0.5653
Topt,haemulonii,25,R07760__cyto,0.2854,0.5657
Topt,haemulonii,26,R04560__cyto,0.2845,0.5648
Topt,haemulonii,27,R12404__cyto,0.2836,0.5641
Topt,haemulonii,28,R01127__cyto,0.2827,0.5633
Topt,haemulonii,29,R00248__cyto,0.2818,0.56
Topt,haemulonii,30,R01843__cyto,0.2808,0.5598
Topt,haemulonii,31,R00220__cyto,0.2799,0.557
Topt,haemulonii,32,R01829__cyto,0.2792,0.557
Topt,haemulonii,33,R04427__cyto,0.2786,0.5568
Topt,haemulonii,34,R02874__cyto,0.278,0.5562
Topt,haemulonii,35,R04533__cyto,0.2775,0.5558
Topt,haemulonii,36,R04953__cyto,0.277,0.5553
Topt,haemulonii,37,R04536__cyto,0.2764,0.5549
Topt,haemulonii,38,R04534__cyto,0.2759,0.5544
Topt,haemulonii,39,R04964__cyto,0.2754,0.5539
Topt,haemulonii,40,R04566__cyto,0.2749,0.5535
Topt,haemulonii,41,R04543__cyto,0.2744,0.553
Topt,haemulonii,42,R04537__cyto,0.2739,0.5526
Topt,haemulonii,43,R04428__cyto,0.2735,0.5522
Topt,haemulonii,44,R04535__cyto,0.273,0.5518
Topt,haemulonii,45,R04965__cyto,0.2726,0.5515
Topt,haemulonii,46,R04568__cyto,0.2722,0.5511
Topt,haemulonii,47,R04954__cyto,0.2717,0.5507
Topt,haemulonii,48,R07494__cyto,0.2713,0.5503
Topt,haemulonii,49,R00858__cyto,0.2709,0.5499
Topt,haemulonii,50,R04544__cyto,0.2704,0.5495
Topt,haemulonii,51,R04355__cyto,0.27,0.5492
Topt,haemulonii,52,R04952__cyto,0.2696,0.5488
Topt,haemulonii,53,R04957__cyto,0.2692,0.5484
Topt,haemulonii,54,R04960__cyto,0.2688,0.5481
Topt,haemulonii,55,R04726__cyto,0.2684,0.5477
Topt,haemulonii,56,R04963__cyto,0.268,0.5473
Topt,haemulonii,57,R04968__cyto,0.2676,0.547
Topt,haemulonii,58,R03657__cyto,0.2672,0.5465
Topt,haemulonii,59,R00771__cyto,0.2669,0.546
Topt,haemulonii,60,R02082__cyto,0.2665,0.5457
Topt,duobushaemulonii,1,R01626__cyto,0.3242,0.5045
Topt,duobushaemulonii,2,R03118__cyto,0.2979,0.4878
Topt,duobushaemulonii,3,R00742__cyto,0.2809,0.4771
Topt,duobushaemulonii,4,R07758__cyto,0.2692,0.4697
Topt,duobushaemulonii,5,T_ATP_synthase__mito,0.2592,0.4638
Topt,duobushaemulonii,6,R06223__cyto,0.2533,0.4528
Topt,duobushaemulonii,7,R00768__cyto,0.2495,0.4535
Topt,duobushaemulonii,8,R07760__cyto,0.247,0.4559
Topt,duobushaemulonii,9,R01624__cyto,0.2446,0.4541
Topt,duobushaemulonii,10,R00209__mito,0.2426,0.4522
Topt,duobushaemulonii,11,R02245__cyto,0.2407,0.4507
Topt,duobushaemulonii,12,R01395__cyto,0.2391,0.4493
Topt,duobushaemulonii,13,R12403__cyto,0.2376,0.4479
Topt,duobushaemulonii,14,R01121__cyto,0.2364,0.447
Topt,duobushaemulonii,15,R00289__cyto,0.2353,0.4461
Topt,duobushaemulonii,16,R05640__cyto,0.2343,0.4452
Topt,duobushaemulonii,17,R07509__cyto,0.2334,0.4443
Topt,duobushaemulonii,18,R05641__cyto,0.2325,0.4435
Topt,duobushaemulonii,19,R00220__cyto,0.2317,0.4422
Topt,duobushaemulonii,20,R00248__cyto,0.2308,0.4399
