T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
26,12,R5,52.2,410.3,0,1,42000000
26,13,R1,125.4,513.8,0,1,69000000
26,13,R2,130.4,522.8,0,1,69000000
26,13,R3,80.2,759.7,0,1,69000000
26,13,R4,125.4,514.8,0,1,69000000
26,13,R5,127.4,544.9,0,1,69000000
26,14,R1,192.6,552.9,0,1,69000000
26,14,R2,86.2,439.5,0,1,69000000
26,14,R3,124.4,472.6,0,1,69000000
26,14,R4,227.7,540.8,0,1,69000000
26,14,R5,127.4,453.6,0,1,69000000
26,15,R1,122.3,434.5,0,1,69000000
26,15,R2,123.4,413.4,0,1,69000000
26,15,R3,128.4,457.6,0,1,69000000
26,15,R4,125.4,441.6,0,1,69000000
26,15,R5,125.4,452.6,0,1,69000000
26,16,R1,77.2,311.9,0,1,14000000
26,16,R2,71.2,374.1,0,1,14000000
26,16,R3,70.2,407.2,0,1,14000000
26,16,R4,70.2,410.2,0,1,14000000
26,16,R5,73.2,344,0,1,14000000
26,17,R1,70.2,422.2,0,1,14000000
26,17,R2,74.2,373.1,0,1,14000000
26,17,R3,76.2,381.1,0,1,14000000
26,17,R4,79.2,416.2,0,1,14000000
26,17,R5,73.2,380.1,0,1,14000000
26,18,R1,79.2,413.2,0,1,14000000
26,18,R2,70.2,443.3,0,1,14000000
26,18,R3,70.2,419.2,0,1,14000000
26,18,R4,73.2,449.3,0,1,14000000
26,18,R5,70.2,437.3,0,1,14000000
28,1,R1,70.2,349,0,1,42000000
28,1,R2,60.1,346,0,1,42000000
28,1,R3,95.3,348,0,1,42000000
28,1,R4,83.2,337,0,1,42000000
28,1,R5,76.2,334,0,1,42000000
28,2,R1,70.2,349,0,1,42000000
28,2,R2,82.2,263.8,0,1,42000000
28,2,R3,76.2,298.9,0,1,42000000
28,2,R4,70.2,337,0,1,42000000
28,2,R5,76.2,307.9,0,1,42000000
28,3,R1,69.2,330,0,1,42000000
28,3,R2,69.2,380.1,0,1,42000000
28,3,R3,41.1,341,0,1,42000000
28,3,R4,88.2,390.1,0,1,42000000
28,3,R5,46.1,330,0,1,42000000
28,4,R1,72.2,438.4,0,1,42000000
28,4,R2,54.1,419.3,0,1,42000000
28,4,R3,65.2,459.4,0,1,42000000
28,4,R4,93.3,396.3,0,1,42000000
28,4,R5,68.2,422.4,0,1,42000000
28,5,R1,68.2,381.2,0,1,42000000
28,5,R2,69.2,425.4,0,1,42000000
28,5,R3,90.3,385.2,0,1,42000000
28,5,R4,62.2,494.6,0,1,42000000
28,5,R5,54.1,435.4,0,1,42000000
28,6,R1,61.2,490.6,0,1,42000000
28,6,R2,65.2,486.6,0,1,42000000
28,6,R3,42.1,469.5,0,1,42000000
28,6,R4,50.1,473.5,0,1,42000000
28,6,R5,50.1,452.4,0,1,42000000
28,7,R1,64.2,397.3,0,1,42000000
28,7,R2,64.2,422.4,0,1,42000000
28,7,R3,88.3,401.3,0,1,42000000
28,7,R4,64.2,397.3,0,1,42000000
28,7,R5,63.2,397.3,0,1,42000000
28,8,R1,69.2,335.1,0,1,42000000
28,8,R2,73.3,370.2,0,1,42000000
28,8,R3,73.3,378.2,0,1,42000000
28,8,R4,81.3,338.1,0,1,42000000
28,8,R5,60.2,353.2,0,1,42000000
28,9,R1,51.2,342.1,0,1,42000000
28,9,R2,40.1,376.2,0,1,42000000
28,9,R3,60.2,356.2,0,1,42000000
28,9,R4,73.3,374.2,0,1,42000000
28,9,R5,60.2,327.1,0,1,42000000
28,10,R1,78.2,384.2,0,1,42000000
28,10,R2,65.2,376.2,0,1,42000000
28,10,R3,83.2,370.2,0,1,42000000
28,10,R4,96.3,405.3,0,1,42000000
28,10,R5,68.2,393.2,0,1,42000000
28,11,R1,71.2,346,0,1,42000000
28,11,R2,74.2,374.2,0,1,42000000
28,11,R3,87.3,356.1,0,1,42000000
28,11,R4,97.3,349.6,0,1,42000000
28,11,R5,87.3,359.1,0,1,42000000
28,12,R1,69.2,322,0,1,42000000
28,12,R2,42.1,371.2,0,1,42000000
28,12,R3,83.2,354.1,0,1,42000000
28,12,R4,69.2,360.1,0,1,42000000
28,12,R5,69.2,384.2,0,1,42000000
28,13,R1,69.2,677.4,0,1,69000000
28,13,R2,133.4,458.6,0,1,69000000
28,13,R3,130.4,452.6,0,1,69000000
28,13,R4,187.7,489.7,0,1,69000000
28,13,R5,102.4,446.6,0,1,69000000
28,14,R1,128.4,472.6,0,1,69000000
28,14,R2,147.5,452.6,0,1,69000000
28,14,R3,133.4,497.8,0,1,69000000
28,14,R4,176.6,539.9,0,1,69000000
28,14,R5,156.6,485.7,0,1,69000000
28,15,R1,122.4,366.3,0,1,69000000
28,15,R2,77.2,354.2,0,1,69000000
28,15,R3,171.6,471.6,0,1,69000000
28,15,R4,81.3,380.3,0,1,69000000
28,15,R5,130.4,389.4,0,1,69000000
28,16,R1,68.2,351.9,0,1,14000000
28,16,R2,88.2,328.9,0,1,14000000
28,16,R3,89.2,352.9,0,1,14000000
28,16,R4,89.2,407,0,1,14000000
28,16,R5,68.2,344.9,0,1,14000000
28,17,R1,87.2,321.8,0,1,14000000
28,17,R2,77.2,347.9,0,1,14000000
28,17,R3,96.2,357.9,0,1,14000000
28,17,R4,86.2,307.8,0,1,14000000
28,17,R5,60.1,353.9,0,1,14000000
28,18,R1,65.2,326.8,0,1,14000000
28,18,R2,72.2,350.9,0,1,14000000
28,18,R3,84.2,343.9,0,1,14000000
28,18,R4,81.2,280.7,0,1,14000000
28,18,R5,75.2,328.9,0,1,14000000
30,1,R1,72.2,293.8,0,1,42000000
30,1,R2,80.2,279.8,0,1,42000000
30,1,R3,78.2,239.7,0,1,42000000
30,1,R4,54.1,223.7,0,1,42000000
30,1,R5,59.1,263.7,0,1,42000000
30,2,R1,70.2,283.8,0,1,42000000
30,2,R2,80.2,256.7,0,1,42000000
30,2,R3,61.1,270.8,0,1,42000000
30,2,R4,88.2,239.7,0,1,42000000
30,2,R5,66.2,260.7,0,1,42000000
30,3,R1,69.2,298.9,0,1,42000000
30,3,R2,95.2,322.9,0,1,42000000
30,3,R3,88.2,299.9,0,1,42000000
30,3,R4,85.2,313.9,0,1,42000000
30,3,R5,69.2,301.9,0,1,42000000
30,4,R1,69.2,331,0,1,42000000
30,4,R2,79.2,356.1,0,1,42000000
30,4,R3,54.1,422.4,0,1,42000000
30,4,R4,74.2,295.9,0,1,42000000
30,4,R5,82.2,309,0,1,42000000
30,5,R1,72.2,411.3,0,1,42000000
30,5,R2,77.2,330,0,1,42000000
30,5,R3,57.1,370.2,0,1,42000000
30,5,R4,91.2,334.1,0,1,42000000
30,5,R5,81.2,381.2,0,1,42000000
30,6,R1,77.2,461.6,0,1,42000000
30,6,R2,91.2,386.2,0,1,42000000
