T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,12,R5,0.01229972820561265,0.011376310163511706,8.794472657046661,143.42000000000002,0,42000000,959.3788000377866,6100.419730426861,0.13589322639985368,6.358718506377863
42,14,R1,0.005000150048279955,0.003120581452448714,8.149682338805293,392.42,0,69000000,240.00720231743782,1018.5773519910618,0.19069612883443038,4.243944940635045
42,14,R2,0.006428389532045566,0.0021204925118233687,7.388296731625187,352.25,0,69000000,308.5626975381872,692.1420512562057,0.3083453914952743,2.2431164128987024
42,14,R3,0.008187895276647917,0.0033017839466985286,9.419392906769449,263.98,0,69000000,393.0189732791,1077.722982246065,0.26722496886869784,2.7421652783178145
42,14,R4,0.007706179969715677,0.0023111306739559633,9.95431249376982,340.25,0,69000000,369.8966385463525,754.3675426693808,0.329012206140341,2.0394009138173055
42,14,R5,0.007057717119767921,0.002497138627769813,9.444563295374541,362.31,0,69000000,338.7704217488602,815.08170505611,0.29359951234558923,2.406000207598857
42,15,R1,0.009203775939750409,0.003857163090981944,9.334015576283111,278.98,0,69000000,441.7812451080196,1259.0022171435749,0.25975161148566456,2.849831746107142
42,15,R2,0.009194587613032008,0.00499577830130287,9.527826987526085,250.87,0,69000000,441.3402054255364,1630.6533608608352,0.21300269103467787,3.6947763671079397
42,15,R3,0.009104473285498004,0.0028334090736918185,7.88044173840336,304.03,0,69000000,437.0147177039042,924.8424870063193,0.3208961381504696,2.1162730899899325
42,15,R4,0.009236123934141352,0.0029228270870801393,9.627520489198465,314.15000000000003,0,69000000,443.33394883878486,954.029087223374,0.31726468884429837,2.151942321859722
42,15,R5,0.009166932606179271,0.0036819443160027703,9.33998401293543,275.96000000000004,0,69000000,440.012765096605,1201.8097103761725,0.26800264442104155,2.731306465875631
44,1,R1,0.006006650679664937,0.007373855644191559,8.655408801984029,272.83,0,42000000,468.518753013865,3954.1480334657,0.10593580200212306,8.439679325597206
44,1,R3,0.005166422267129203,0.011592862530819505,7.581854071014355,201.65999999999997,0,42000000,402.98093683607783,6216.543527616595,0.0608776263310325,15.42639603854344
44,1,R4,0.006339787615797831,0.008754672268208514,7.749770045080033,218.7,0,42000000,494.50343403223076,4694.5955824673165,0.0952965885715189,9.493555068338175
44,1,R5,0.009231639053165822,0.013396322120270643,8.50466425019431,151.5,0,42000000,720.0678461469341,7183.628663691958,0.09110519935204495,9.976321956509214
44,2,R1,0.004294257592667389,0.00904879287795415,8.562472748967153,273.83,0,42000000,334.95209222805636,4852.314486490553,0.06457198355724342,14.486592557800156
44,2,R3,0.007989669252289557,0.009419998691964976,8.674347454760952,195.64,0,42000000,623.1942016785854,5051.36947350242,0.10982239998544152,8.10561051418075
44,2,R4,0.0031538776189850375,0.016626007726245125,8.46126365347092,190.63,0,42000000,246.00245428083295,8915.511630188053,0.026851724727233694,36.24155562289729
44,2,R5,0.005342198985062348,0.021593074365464933,8.693242677944504,143.48000000000002,0,42000000,416.6915208348631,11579.045842311541,0.034736632540408305,27.78805246411619
44,3,R1,0.004716406847405704,0.007758386180876637,6.928933392711013,241.77,0,42000000,367.8797340976449,4160.348254735085,0.08124143373630699,11.308990056056796
44,3,R2,0.004555968722081492,0.014704670664949517,8.548695532818813,193.65000000000003,0,42000000,355.3655603223564,7885.216011568072,0.043123844745927786,22.189026996356365
44,3,R3,0.009790706459864,0.014991660673193368,8.911783519264876,145.48,0,42000000,763.675103869392,8039.111209884793,0.0867537932479588,10.526873495223548
44,3,R4,0.008642374674661479,0.006392055638094451,7.212479694607556,220.68,0,42000000,674.1052246235954,3427.668705595548,0.16434480205192104,5.084768045685268
44,3,R5,0.006689450814968761,0.01502397767583317,7.958433099068912,138.45,0,42000000,521.7771635675633,8056.44084292912,0.06082582223631962,15.44038606029548
44,4,R4,0.0018768360542921316,0.007208881437213491,7.079572458031501,312.03000000000003,0,42000000,146.39321223478626,3865.682450794748,0.03648814841249633,26.406159081986292
44,7,R3,0.00784311417290156,0.008539839001990799,8.682808663474061,222.74999999999997,0,42000000,611.7629054863216,4579.393634107108,0.11784713113934238,7.485569316215264
44,7,R4,0.0088827283961801385,0.010336141354164509,8.299302531285578,179.65,0,42000000,692.8528149020508,5542.64078133767,0.11111434952316714,7.99973769626849
44,7,R5,0.007080088282820335,0.010088222385696947,8.632173067970463,201.70000000000005,0,42000000,552.2468860599862,5409.69699332128,0.0926286622673306,9.795794471412679
44,8,R1,0.0026386376855406578,0.010205972443706258,8.998088845484357,249.83000000000004,0,42000000,205.8137394721713,5472.8391516146485,0.03624340903019717,26.59122352885798
44,8,R2,0.004426641080599154,0.004663367995767998,6.778152723844426,357.15,0,42000000,345.278004286734,2500.679194108981,0.12132227585199439,7.242509407093037
44,8,R3,0.00696912501113002,0.009197446525928932,8.774014146713528,213.73999999999998,0,42000000,543.5917508681416,4932.028351009992,0.09927492060336511,9.073037519670434
44,8,R4,0.006199247515298017,0.008954884119432478,8.824343588460417,226.77,0,42000000,483.54130619324525,4801.956959743174,0.09148452650330734,9.930810249795064
44,8,R5,0.004515097068494229,0.011284379219849346,9.079164177590505,267.88,0,42000000,352.1775713425499,6051.1227848888075,0.054999383403876896,17.18202201753248
44,9,R1,0.0034651871332713954,0.008747503436598315,8.787608590257106,296.98,0,42000000,270.2845963951688,4690.751376290588,0.0544814828764172,17.354860169065976
44,9,R2,0.006735028450751156,0.008759819223616658,9.51566336935731,228.76,0,42000000,525.3322191585901,4697.355580029987,0.10058656373069214,8.941685677595808
44,9,R3,0.007412002589509869,0.009454247409653916,8.490420376552457,210.72,0,42000000,578.1362019817698,5069.734967245864,0.10236356047420818,8.769101381071664
44,9,R4,0.006949675792236264,0.010255751506588775,8.735915628890167,208.72,0,42000000,542.0747117944286,5499.532620147588,0.08972359208591332,10.14534067073983
44,10,R1,0.0081639035566636875,0.00690094566799786,8.5648597016496,229.7,0,42000000,636.7844774197677,3700.555321239822,0.14681452387395594,5.811315213326753
44,10,R2,0.009001875255617056,0.010520411054239355,9.086433990069425,178.57,0,42000000,702.1462699381304,5641.453357462915,0.11068577955412325,8.034584244049336
44,10,R3,0.009936573837359491,0.008683425625684912,8.917591302568049,203.61999999999998,0,42000000,775.0527593140404,4656.390363241519,0.14269739032991452,6.007836637292475
44,10,R4,0.011296442263318596,0.009407031994435029,8.77225658560587,179.57000000000002,0,42000000,881.1224965388504,5044.416226244459,0.14869913737142448,5.724988575435879
44,10,R5,0.011923730152991526,0.006616747781701841,8.733711294630256,200.63,0,42000000,930.0509519333391,3548.1573672470954,0.2076837176041756,3.8150139622688197
44,11,R1,0.007016183812371023,0.003986803808934764,6.824022561333579,316.02000000000004,0,42000000,547.2623373649399,2137.879177676973,0.20381135753897037,3.906497910985123
44,11,R2,0.0075201183401713955,0.011847074690129128,9.116959378651252,190.59999999999997,0,42000000,586.5692305333689,6352.861969191865,0.08452698984271133,10.830540775920332
44,11,R3,0.011387414090436318,0.0073568164437916896,9.594991130729037,186.59,0,42000000,888.2182990540329,3945.0109518622585,0.18377326067983282,4.441488039667456
44,11,R4,0.010587287834401412,0.008290544974281881,9.07509164406518,197.61,0,42000000,825.80845108331,4445.712485874103,0.156654684854566,5.383466928731643
44,11,R5,0.009456257112061852,0.00912806411447688,9.22542801300071,202.63,0,42000000,737.5880547408244,4894.822804951283,0.13095423489421087,6.636255527038379
44,12,R4,0.006761355411709481,0.012125452001758436,9.356644861230766,190.62,0,42000000,527.3857221133395,6502.138704790502,0.07502438146382925,12.329000259497239
44,14,R1,0.00232275082118936,0.0020423255558122857,9.656133055787631,792.8499999999999,0,69000000,111.49203941708929,666.6278667107282,0.143283880208014,5.97915214571408
44,14,R2,0.0014976396900915048,0.0024561300846846004,9.765203153874888,886.1700000000001,0,69000000,71.88670512439224,801.6962594712912,0.08228949972446319,11.152218732017857
44,14,R3,0.0016055433088672053,0.002751209192878894,9.56867168900401,742.6500000000001,0,69000000,77.06607882562585,898.011930519255,0.07903580850664833,11.652492824387089
44,14,R4,0.001611646765695845,0.003326110280434564,9.660938141444921,665.39,0,69000000,77.35904475340055,1085.6632501025754,0.0665155303518755,14.03408293837356
44,14,R5,0.0013986549119442801,0.00354187071092365,9.689451266355887,686.46,0,69000000,67.13543577332544,1156.0888074228542,0.054883997064925985,17.220247312108707
44,15,R1,0.0032842341125785828,0.0034081839159114773,9.451788659251912,586.0500000000001,0,69000000,157.643237403772,1112.4525993204124,0.12411916710975408,7.056773367772732
44,15,R2,0.003925634616877161,0.0046945338241078695,9.91272953425476,453.58000000000004,0,69000000,188.43046161010372,1532.3252747144415,0.10950447970760945,8.132046494080646
44,15,R3,0.002406159682636931,0.007101914297423057,10.425015705509766,450.59999999999997,0,69000000,115.49566476657269,2318.1093553767855,0.0474586729607293,20.070964222439837
44,15,R4,0.0025906422240630357,0.006734643857192306,9.689994268074091,435.52,0,69000000,124.35082675502571,2198.2299809155675,0.05353993555115183,17.6776466894437
44,15,R5,0.003186957654029098,0.005208894112221421,9.941115134586669,440.53,0,69000000,152.9739673933967,1700.2156977716402,0.08254630935456544,11.114411992723358
