clade,dTopt,dCp_scale,kcat_scale
I,-0.4999963446167521,1.0015364362739776,0.5932029046167643
I,-0.05462600827928907,0.9706962866610376,0.5999449779629434
I,-0.45810877639875297,1.0610505432935335,0.596371257543194
I,-0.5893326048336271,0.9662736911639096,0.6019588638963662
I,0.7861406020863543,0.8032722271382969,0.5886346568455363
I,-0.6170021521928795,1.0936475161720907,0.6259695034221563
I,-0.47490813413111777,0.9851270091111629,0.5966027780415138
I,-0.704351731184742,1.0196949635945574,0.5735988552337419
I,-0.5631939843869291,0.9242389451132508,0.597433371434074
I,-0.6080684531861066,0.957701053571433,0.5868460866946545
I,-0.3150940076233437,0.8527063506669574,0.5799729306702907
I,-0.9446932319317514,0.9782602330312102,0.6019590108522215
I,-0.2214267726899783,0.8743679104589523,0.5893259486917795
I,-0.4477048510463212,0.967758193812689,0.6011741933889609
I,-0.6020115574313375,0.8871354227445942,0.5868428824515778
I,-0.7882256929245961,1.0216114461401813,0.5775007557555697
I,-1.347466418824891,1.1443942119199624,0.5995386784697448
I,-0.4027792095484344,0.9597318894479198,0.5970074198210856
I,-0.3709250013312015,0.985287946921027,0.6012411680393559
I,-0.7949547259622392,1.1150524271715783,0.6181534017559536
I,-0.8413063435102717,1.0728380331463512,0.5949358908306713
I,-0.8218894689424405,1.0511527957095663,0.6005668390960497
I,0.41384482065135453,0.8383837238169103,0.6082542376292868
I,-0.9778208115921949,0.9831245253993763,0.5739839045459961
I,-0.9077030629034136,0.8630013040412245,0.5984194948498384
I,-0.6255441536918009,0.9982792216377125,0.6230435080961259
I,-0.3709116969133067,0.9790677408978687,0.6261033630180729
I,-0.16548237009031086,0.930379427429871,0.6066308454040171
I,-0.6979465050690614,0.8572667146019282,0.5665862604641232
I,-0.839414230934153,1.0973579511457316,0.6058280392535638
I,0.08147410490366325,0.9147366672401651,0.6064073308596655
I,-0.20657348283601906,0.8637783903241258,0.594736018083213
I,-0.5464950207353125,0.8563044966369014,0.585183399404518
I,-0.7358902968802453,1.0193032604979138,0.5978523977786054
I,-0.3841551528659076,0.8470036876066843,0.6000722506015697
I,-0.4336167736501452,1.0008671714045785,0.6309448258149071
I,0.10616707470462466,0.9833139145985803,0.6183103012769453
I,0.3519308313066217,0.8468311718676682,0.6002204993208672
I,-0.579083648225875,0.9524822007278998,0.5886527570797091
I,-0.6484655938899947,0.950035807847458,0.5815464831500778
