parameter,Estimate,r_squared,rmse_log,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
Th,313.21647004022833,0.46031754623765764,0.3550858528753213,59,9,Clade3_2076,13,1300
lnB0,6.970463664751073,0.43045008766925374,0.27584784495948367,60,10,Clade4_2077,13,1300
E,0.3038638036833222,0.43045008766925374,0.27584784495948367,60,10,Clade4_2077,13,1300
Eh,0.05,0.43045008766925374,0.27584784495948367,60,10,Clade4_2077,13,1300
Th,319.3519586734572,0.43045008766925374,0.27584784495948367,60,10,Clade4_2077,13,1300
lnB0,6.907439888272328,0.3878892979037405,0.32381321998589657,60,11,Clade4_2078,13,1300
E,0.2957417057558704,0.3878892979037405,0.32381321998589657,60,11,Clade4_2078,13,1300
Eh,0.05,0.3878892979037405,0.32381321998589657,60,11,Clade4_2078,13,1300
Th,304.9893158517601,0.3878892979037405,0.32381321998589657,60,11,Clade4_2078,13,1300
lnB0,7.134263402795659,0.3043541628519113,0.3862618313080376,55,12,Clade4_2079,13,1300
E,0.3452024188211719,0.3043541628519113,0.3862618313080376,55,12,Clade4_2079,13,1300
Eh,0.05,0.3043541628519113,0.3862618313080376,55,12,Clade4_2079,13,1300
Th,309.72141712788715,0.3043541628519113,0.3862618313080376,55,12,Clade4_2079,13,1300
lnB0,5.005666113191354,0.27503464688290036,0.5587944181943229,49,13,glab_2048,8,800
E,0.5102148237891567,0.27503464688290036,0.5587944181943229,49,13,glab_2048,8,800
Eh,0.05,0.27503464688290036,0.5587944181943229,49,13,glab_2048,8,800
Th,305.7712698976653,0.27503464688290036,0.5587944181943229,49,13,glab_2048,8,800
lnB0,4.176959685682667,0.3560153750213966,0.9085380562193471,60,14,glab_2049,8,800
E,0.790618863455871,0.3560153750213966,0.9085380562193471,60,14,glab_2049,8,800
Eh,0.05,0.3560153750213966,0.9085380562193471,60,14,glab_2049,8,800
Th,324.09573445319313,0.3560153750213966,0.9085380562193471,60,14,glab_2049,8,800
lnB0,4.2720376486163145,0.35383958414924266,0.9093973613207557,59,15,glab_2050,8,800
E,0.7228730348017818,0.35383958414924266,0.9093973613207557,59,15,glab_2050,8,800
Eh,0.05,0.35383958414924266,0.9093973613207557,59,15,glab_2050,8,800
Th,303.66139839179493,0.35383958414924266,0.9093973613207557,59,15,glab_2050,8,800
lnB0,8.820818645156855,0.3121405018020824,0.32966104314270406,45,16,para_2051,38,3800
E,0.3645478951972142,0.3121405018020824,0.32966104314270406,45,16,para_2051,38,3800
Eh,0.05,0.3121405018020824,0.32966104314270406,45,16,para_2051,38,3800
Th,315.248864290893,0.3121405018020824,0.32966104314270406,45,16,para_2051,38,3800
lnB0,8.357892152809548,0.3895033886841611,0.32727918468820666,49,17,para_2052,38,3800
E,0.39263390075047433,0.3895033886841611,0.32727918468820666,49,17,para_2052,38,3800
Eh,0.05,0.3895033886841611,0.32727918468820666,49,17,para_2052,38,3800
Th,305.3245931377768,0.3895033886841611,0.32727918468820666,49,17,para_2052,38,3800
lnB0,8.270025469164404,0.13901464754266724,0.5303617690239736,43,18,para_2053,38,3800
E,0.34872480744427303,0.13901464754266724,0.5303617690239736,43,18,para_2053,38,3800
Eh,0.05,0.13901464754266724,0.5303617690239736,43,18,para_2053,38,3800
Th,319.15,0.13901464754266724,0.5303617690239736,43,18,para_2053,38,3800
