T,OTU,Replicate,n_pts,drawdown
26.0,4,R1,458,7.539999999999999
26.0,4,R2,464,8.229999999999999
26.0,4,R3,467,7.359999999999999
26.0,4,R4,480,7.67
26.0,4,R5,453,7.48
26.0,5,R1,533,6.68
26.0,5,R2,499,7.61
26.0,5,R3,502,7.78
26.0,5,R4,494,7.69
26.0,5,R5,502,7.56
26.0,6,R1,605,7.460000000000001
26.0,6,R2,569,7.139999999999999
26.0,6,R3,571,6.960000000000001
26.0,6,R4,615,6.790000000000001
26.0,6,R5,617,6.83
26.0,7,R1,459,6.859999999999999
26.0,7,R2,448,8.1
26.0,7,R3,411,8.09
26.0,7,R4,437,8.17
26.0,7,R5,414,8.35
26.0,8,R1,421,8.07
26.0,8,R2,442,8.2
26.0,8,R3,416,8.09
26.0,8,R4,456,7.530000000000001
26.0,8,R5,440,8.48
26.0,9,R1,451,8.08
26.0,9,R2,446,8.38
26.0,9,R3,448,8.53
26.0,9,R4,448,8.09
26.0,9,R5,444,8.58
26.0,10,R1,455,7.43
26.0,10,R2,462,7.25
26.0,10,R3,460,7.33
26.0,10,R4,432,7.58
26.0,10,R5,433,7.389999999999999
26.0,11,R1,424,7.610000000000001
26.0,11,R2,419,7.520000000000001
26.0,11,R3,422,7.7
26.0,11,R4,423,7.49
26.0,11,R5,423,7.829999999999999
26.0,12,R1,371,7.6
26.0,12,R2,365,7.51
26.0,12,R3,356,8.040000000000001
26.0,12,R4,366,7.9399999999999995
26.0,12,R5,385,7.6899999999999995
26.0,13,R1,770,8.41
26.0,13,R2,819,8.120000000000001
26.0,13,R3,813,7.43
26.0,13,R4,762,7.970000000000001
26.0,13,R5,746,8.420000000000002
26.0,14,R1,682,8.89
26.0,14,R2,858,7.1
26.0,14,R3,722,7.64
26.0,14,R4,751,8.25
26.0,14,R5,738,7.24
26.0,15,R1,667,8.31
26.0,15,R2,704,8.15
26.0,15,R3,558,7.55
26.0,15,R4,749,8.51
26.0,15,R5,765,8.57
26.0,16,R1,350,7.91
26.0,16,R2,346,7.4399999999999995
26.0,16,R3,372,8.02
26.0,16,R4,346,7.229999999999999
26.0,16,R5,340,7.66
26.0,17,R1,372,7.74
26.0,17,R2,369,8.03
26.0,17,R3,375,7.720000000000001
26.0,17,R4,364,7.7700000000000005
26.0,17,R5,348,7.68
26.0,18,R1,473,8.19
26.0,18,R2,442,7.49
26.0,18,R3,466,8.35
26.0,18,R4,440,7.789999999999999
26.0,18,R5,444,7.58
26.0,19,R1,372,7.74
26.0,19,R2,390,8.07
26.0,19,R3,409,7.5600000000000005
26.0,19,R4,400,8.34
26.0,19,R5,398,8.229999999999999
26.0,20,R1,372,8.47
26.0,20,R2,349,7.790000000000001
26.0,20,R3,349,8.08
26.0,20,R4,347,7.9399999999999995
26.0,20,R5,370,8.080000000000002
26.0,21,R1,461,8.32
26.0,21,R2,460,8.510000000000002
26.0,21,R3,459,8.34
26.0,21,R4,435,8.31
26.0,21,R5,455,8.34
26.0,22,R1,393,7.26
26.0,22,R2,393,7.37
26.0,22,R3,366,7.64
26.0,22,R4,390,7.48
26.0,22,R5,397,7.540000000000001
26.0,23,R1,415,7.4399999999999995
26.0,23,R2,414,7.83
26.0,23,R3,438,7.6
26.0,23,R4,436,7.780000000000001
26.0,23,R5,444,7.430000000000001
28.0,1,R1,320,7.91
28.0,1,R2,328,6.710000000000001
28.0,1,R3,292,7.66
28.0,1,R4,292,7.539999999999999
28.0,1,R5,298,6.930000000000001
28.0,2,R1,294,7.52
28.0,2,R2,286,7.470000000000001
28.0,2,R3,266,7.699999999999999
28.0,2,R4,272,7.47
28.0,2,R5,261,7.55
28.0,3,R1,323,7.750000000000001
28.0,3,R2,343,7.770000000000001
28.0,3,R3,362,6.720000000000001
28.0,3,R4,314,7.639999999999999
28.0,3,R5,353,6.73
28.0,4,R1,397,7.680000000000001
28.0,4,R2,415,6.970000000000001
28.0,4,R3,389,7.7700000000000005
28.0,4,R4,352,8.129999999999999
28.0,4,R5,403,8.229999999999999
28.0,5,R1,424,7.74
28.0,5,R2,407,7.790000000000001
28.0,5,R3,350,7.169999999999999
28.0,5,R4,376,6.299999999999999
28.0,5,R5,422,7.300000000000001
28.0,6,R1,505,7.6899999999999995
28.0,6,R2,494,8.09
28.0,6,R3,498,7.08
28.0,6,R4,506,7.33
28.0,6,R5,520,7.12
28.0,7,R1,348,8.030000000000001
28.0,7,R2,366,7.460000000000001
28.0,7,R3,351,7.76
28.0,7,R4,355,7.729999999999999
28.0,7,R5,384,6.700000000000001
28.0,8,R1,336,8.26
28.0,8,R2,352,7.840000000000001
28.0,8,R3,329,7.72
28.0,8,R4,299,7.890000000000001
28.0,8,R5,357,6.62
28.0,9,R1,369,7.779999999999999
28.0,9,R2,381,8.360000000000001
28.0,9,R3,328,7.75
28.0,9,R4,347,7.700000000000001
28.0,9,R5,341,7.739999999999999
28.0,10,R1,356,8.14
28.0,10,R2,370,7.889999999999999
28.0,10,R3,388,8.01
28.0,10,R4,360,8.13
28.0,10,R5,371,7.73
28.0,11,R1,366,7.890000000000001
28.0,11,R2,364,8.0
28.0,11,R3,337,7.879999999999999
28.0,11,R4,296,8.120000000000001
28.0,11,R5,324,7.92
28.0,12,R1,352,8.56
28.0,12,R2,375,6.83
28.0,12,R3,329,8.19
28.0,12,R4,335,7.969999999999999
28.0,12,R5,343,8.33
28.0,13,R1,710,7.129999999999999
28.0,13,R2,599,8.82
28.0,13,R3,573,5.39
28.0,13,R4,536,6.709999999999999
28.0,13,R5,563,8.28
28.0,14,R1,667,8.31
28.0,14,R2,804,9.01
28.0,14,R3,657,7.83
28.0,14,R4,626,8.4
28.0,14,R5,639,8.55
28.0,15,R1,583,7.989999999999999
28.0,15,R2,588,7.52
28.0,15,R3,504,8.129999999999999
28.0,15,R4,548,8.32
28.0,15,R5,588,8.129999999999999
28.0,16,R1,320,8.3
28.0,16,R2,301,8.03
28.0,16,R3,316,8.07
28.0,16,R4,337,8.11
28.0,16,R5,323,8.229999999999999
28.0,17,R1,295,8.379999999999999
28.0,17,R2,299,8.139999999999999
28.0,17,R3,294,8.36
28.0,17,R4,291,8.33
28.0,17,R5,349,7.22
28.0,18,R1,165,3.2699999999999996
28.0,18,R2,311,8.03
28.0,18,R3,273,8.28
28.0,18,R4,263,6.5600000000000005
28.0,18,R5,284,8.2
28.0,19,R1,312,7.709999999999999
28.0,19,R2,280,7.75
28.0,19,R3,296,7.619999999999999
28.0,19,R4,329,6.989999999999999
28.0,19,R5,298,7.800000000000001
28.0,20,R1,331,7.67
28.0,20,R2,330,7.8199999999999985
28.0,20,R3,319,7.709999999999999
28.0,20,R4,331,7.54
28.0,20,R5,335,7.52
28.0,21,R1,475,6.76
28.0,21,R2,422,7.6899999999999995
28.0,21,R3,418,7.729999999999999
28.0,21,R4,368,6.01
28.0,21,R5,385,7.6000000000000005
28.0,22,R1,347,6.680000000000001
28.0,22,R2,316,6.26
28.0,22,R3,328,6.510000000000001
28.0,22,R4,320,6.32
28.0,22,R5,312,6.25
28.0,23,R1,333,6.569999999999999
28.0,23,R2,330,6.32
28.0,23,R3,332,6.440000000000001
28.0,23,R4,330,6.49
28.0,23,R5,335,6.31
30.0,1,R1,250,7.22
30.0,1,R2,241,6.660000000000001
30.0,1,R3,242,6.57
30.0,1,R4,254,6.370000000000001
30.0,1,R5,232,6.57
30.0,2,R1,245,6.85
30.0,2,R2,220,6.95
30.0,2,R3,236,6.389999999999998
30.0,2,R4,174,5.7700000000000005
30.0,2,R5,207,6.679999999999998
30.0,3,R1,283,6.48
30.0,3,R2,258,6.81
30.0,3,R3,238,6.949999999999999
30.0,3,R4,228,5.870000000000001
30.0,3,R5,262,6.26
30.0,4,R1,322,7.110000000000001
30.0,4,R2,292,7.51
30.0,4,R3,319,6.629999999999999
30.0,4,R4,285,7.130000000000001
30.0,4,R5,271,6.290000000000001
30.0,5,R1,375,6.98
30.0,5,R2,348,6.75
30.0,5,R3,368,6.540000000000001
30.0,5,R4,266,4.829999999999999
30.0,5,R5,316,6.81
30.0,6,R1,419,7.36
30.0,6,R2,381,6.6899999999999995
30.0,6,R3,322,5.1899999999999995
30.0,6,R4,319,5.399999999999999
30.0,6,R5,419,6.19
30.0,7,R1,283,7.359999999999999
30.0,7,R2,271,7.45
30.0,7,R3,265,7.340000000000001
30.0,7,R4,258,7.250000000000001
30.0,7,R5,264,7.390000000000001
30.0,8,R1,292,7.6899999999999995
30.0,8,R2,286,7.36
30.0,8,R3,277,7.6
30.0,8,R4,318,6.25
30.0,8,R5,267,7.589999999999999
