Group,T,CUE_med,lo95,hi95
Clade3,27.1765,0.6849,0.5582,0.7935
Clade3,27.3613,0.6865,0.5572,0.7927
Clade3,27.5462,0.69,0.5599,0.7954
Clade3,27.7311,0.691,0.5621,0.7988
Clade3,27.916,0.6938,0.5598,0.8015
Clade3,28.1008,0.696,0.5707,0.802
Clade3,28.2857,0.6963,0.5671,0.8013
Clade3,28.4706,0.7005,0.5696,0.8015
Clade3,28.6555,0.699,0.5757,0.8029
Clade3,28.8403,0.701,0.5744,0.8026
Clade3,29.0252,0.7027,0.5812,0.8081
Clade3,29.2101,0.7068,0.5813,0.81
Clade3,29.395,0.7082,0.5817,0.8077
Clade3,29.5798,0.7083,0.5801,0.8091
Clade3,29.7647,0.7099,0.5808,0.8143
Clade3,29.9496,0.7102,0.5848,0.8119
Clade3,30.1345,0.7126,0.5861,0.8106
Clade3,30.3193,0.7148,0.5915,0.8159
Clade3,30.5042,0.7154,0.5943,0.8163
Clade3,30.6891,0.7156,0.5926,0.8177
Clade3,30.8739,0.7187,0.594,0.8141
Clade3,31.0588,0.7178,0.596,0.8158
Clade3,31.2437,0.7207,0.5903,0.8237
Clade3,31.4286,0.7191,0.593,0.8238
Clade3,31.6134,0.7227,0.5952,0.8187
Clade3,31.7983,0.7199,0.5984,0.8186
Clade3,31.9832,0.7207,0.5962,0.8166
Clade3,32.1681,0.7232,0.5981,0.819
Clade3,32.3529,0.7234,0.5948,0.8219
Clade3,32.5378,0.7214,0.5977,0.8223
Clade3,32.7227,0.7223,0.5926,0.8204
Clade3,32.9076,0.7215,0.5985,0.8218
Clade3,33.0924,0.7217,0.6016,0.8195
Clade3,33.2773,0.7218,0.5884,0.8212
Clade3,33.4622,0.7215,0.5981,0.8197
Clade3,33.6471,0.7215,0.5943,0.8233
Clade3,33.8319,0.7228,0.5989,0.8218
Clade3,34.0168,0.7195,0.5904,0.822
Clade3,34.2017,0.7173,0.5932,0.8227
Clade3,34.3866,0.7186,0.5941,0.8201
Clade3,34.5714,0.7162,0.5832,0.8169
Clade3,34.7563,0.7163,0.5885,0.8166
Clade3,34.9412,0.7138,0.5876,0.8126
Clade3,35.1261,0.7117,0.587,0.811
Clade3,35.3109,0.7108,0.5854,0.8144
Clade3,35.4958,0.7118,0.5784,0.8155
Clade3,35.6807,0.7065,0.5732,0.8111
Clade3,35.8655,0.7065,0.5827,0.8102
Clade3,36.0504,0.7021,0.5755,0.8083
Clade3,36.2353,0.6991,0.575,0.8079
Clade3,36.4202,0.696,0.5585,0.8069
Clade3,36.605,0.6975,0.5623,0.8013
Clade3,36.7899,0.6933,0.5607,0.8017
Clade3,36.9748,0.6901,0.5502,0.7978
Clade3,37.1597,0.6896,0.5528,0.7998
Clade3,37.3445,0.684,0.5456,0.7956
Clade3,37.5294,0.68,0.5495,0.7916
Clade3,37.7143,0.6769,0.5362,0.7933
Clade3,37.8992,0.6731,0.5297,0.784
Clade3,38.084,0.6678,0.5323,0.7825
Clade3,38.2689,0.6647,0.526,0.7816
Clade3,38.4538,0.6594,0.5258,0.7779
Clade3,38.6387,0.6582,0.5158,0.7764
Clade3,38.8235,0.6511,0.5103,0.7725
Clade3,39.0084,0.6466,0.5061,0.7676
Clade3,39.1933,0.642,0.4986,0.7621
Clade3,39.3782,0.6346,0.4877,0.7584
Clade3,39.563,0.6306,0.491,0.7499
Clade3,39.7479,0.6264,0.4812,0.7505
Clade3,39.9328,0.6206,0.4738,0.7407
Clade3,40.1176,0.6141,0.4671,0.7374
Clade3,40.3025,0.6082,0.4582,0.7352
Clade3,40.4874,0.602,0.4532,0.7355
Clade3,40.6723,0.5949,0.4451,0.7253
Clade3,40.8571,0.5903,0.4436,0.7296
Clade3,41.042,0.5838,0.4322,0.7103
Clade3,41.2269,0.5784,0.4262,0.7074
Clade3,41.4118,0.5725,0.4226,0.7047
Clade3,41.5966,0.5613,0.4144,0.6995
Clade3,41.7815,0.5548,0.4064,0.6965
Clade3,41.9664,0.548,0.3927,0.6824
Clade3,42.1513,0.5361,0.4002,0.6775
Clade3,42.3361,0.5353,0.3818,0.6728
Clade3,42.521,0.5257,0.3777,0.6676
Clade3,42.7059,0.5175,0.3636,0.6592
Clade3,42.8908,0.5102,0.3633,0.6504
Clade3,43.0756,0.5004,0.3561,0.6518
Clade3,43.2605,0.4922,0.3538,0.642
Clade3,43.4454,0.4844,0.3361,0.6309
Clade3,43.6303,0.4795,0.3299,0.6223
Clade3,43.8151,0.4701,0.3183,0.627
Clade3,44.0,0.463,0.3093,0.6158
Clade4,22.0,0.6599,0.5283,0.7698
Clade4,22.1849,0.6642,0.5299,0.779
Clade4,22.3697,0.6688,0.5403,0.7763
Clade4,22.5546,0.673,0.5383,0.785
Clade4,22.7395,0.6744,0.5475,0.7853
Clade4,22.9244,0.6775,0.5482,0.7828
Clade4,23.1092,0.6816,0.5437,0.7881
Clade4,23.2941,0.6879,0.5601,0.7906
Clade4,23.479,0.6902,0.5604,0.7919
Clade4,23.6639,0.6907,0.562,0.7975
Clade4,23.8487,0.6974,0.563,0.8007
Clade4,24.0336,0.7017,0.5644,0.8027
Clade4,24.2185,0.703,0.5838,0.8065
Clade4,24.4034,0.7081,0.5743,0.8089
Clade4,24.5882,0.7106,0.5773,0.8099
Clade4,24.7731,0.7114,0.5863,0.8167
Clade4,24.958,0.7176,0.5874,0.8176
Clade4,25.1429,0.7195,0.5925,0.8179
Clade4,25.3277,0.7206,0.5949,0.8174
Clade4,25.5126,0.726,0.5997,0.8176
Clade4,25.6975,0.7282,0.6039,0.8262
Clade4,25.8824,0.7312,0.6095,0.8285
Clade4,26.0672,0.7337,0.6171,0.8278
Clade4,26.2521,0.7373,0.6143,0.8315
Clade4,26.437,0.7388,0.6209,0.8295
Clade4,26.6218,0.7429,0.6187,0.836
Clade4,26.8067,0.7448,0.6229,0.837
Clade4,26.9916,0.7485,0.6275,0.8397
Clade4,27.1765,0.7515,0.6283,0.8404
Clade4,27.3613,0.7527,0.6336,0.842
Clade4,27.5462,0.7575,0.6376,0.8429
Clade4,27.7311,0.7568,0.6452,0.8473
Clade4,27.916,0.7594,0.6424,0.8471
Clade4,28.1008,0.7638,0.6424,0.8509
Clade4,28.2857,0.7653,0.6437,0.8478
Clade4,28.4706,0.7662,0.6487,0.8545
Clade4,28.6555,0.7696,0.6565,0.8531
Clade4,28.8403,0.7709,0.6523,0.8542
Clade4,29.0252,0.7736,0.6597,0.856
Clade4,29.2101,0.7764,0.6579,0.8609
Clade4,29.395,0.7765,0.6644,0.8628
Clade4,29.5798,0.7793,0.6682,0.8626
Clade4,29.7647,0.781,0.6736,0.8636
Clade4,29.9496,0.7816,0.6728,0.862
Clade4,30.1345,0.7847,0.6755,0.8643
Clade4,30.3193,0.7856,0.6715,0.8645
Clade4,30.5042,0.7875,0.6796,0.8654
Clade4,30.6891,0.7897,0.6785,0.8697
Clade4,30.8739,0.791,0.6785,0.8709
Clade4,31.0588,0.79,0.6835,0.8715
Clade4,31.2437,0.7952,0.6836,0.8718
Clade4,31.4286,0.7946,0.6866,0.8711
Clade4,31.6134,0.7932,0.682,0.8736
Clade4,31.7983,0.7972,0.6869,0.8738
Clade4,31.9832,0.7974,0.6929,0.872
Clade4,32.1681,0.7993,0.6913,0.8754
Clade4,32.3529,0.7972,0.6857,0.875
Clade4,32.5378,0.799,0.6915,0.8768
Clade4,32.7227,0.8015,0.696,0.8769
Clade4,32.9076,0.8002,0.6917,0.8762
Clade4,33.0924,0.8018,0.6938,0.8753
Clade4,33.2773,0.803,0.6993,0.8814
Clade4,33.4622,0.804,0.6956,0.8779
Clade4,33.6471,0.8007,0.7005,0.8777
Clade4,33.8319,0.8022,0.6917,0.8762
Clade4,34.0168,0.8032,0.6937,0.8756
Clade4,34.2017,0.8017,0.7018,0.8815
Clade4,34.3866,0.804,0.6973,0.8754
Clade4,34.5714,0.8047,0.6982,0.8778
Clade4,34.7563,0.8022,0.6934,0.8783
Clade4,34.9412,0.8011,0.697,0.8759
Clade4,35.1261,0.8008,0.6951,0.8777
Clade4,35.3109,0.8025,0.6931,0.8802
Clade4,35.4958,0.7988,0.6908,0.8748
Clade4,35.6807,0.7984,0.6892,0.8758
Clade4,35.8655,0.7981,0.6894,0.875
Clade4,36.0504,0.7972,0.683,0.8766
Clade4,36.2353,0.7957,0.6856,0.8756
Clade4,36.4202,0.7964,0.6843,0.8758
Clade4,36.605,0.7931,0.6825,0.8746
Clade4,36.7899,0.7932,0.6778,0.8753
Clade4,36.9748,0.7916,0.678,0.8704
Clade4,37.1597,0.7898,0.6742,0.8706
Clade4,37.3445,0.7895,0.6774,0.8699
Clade4,37.5294,0.7866,0.672,0.8679
Clade4,37.7143,0.7858,0.6763,0.8674
Clade4,37.8992,0.7835,0.6658,0.8653
Clade4,38.084,0.7791,0.6656,0.8655
Clade4,38.2689,0.7774,0.6612,0.8634
Clade4,38.4538,0.7766,0.6557,0.862
Clade4,38.6387,0.7741,0.6592,0.8587
Clade4,38.8235,0.7725,0.6539,0.8549
Clade4,39.0084,0.7668,0.6504,0.8563
Clade4,39.1933,0.7647,0.6404,0.852
Clade4,39.3782,0.7625,0.644,0.8522
Clade4,39.563,0.7582,0.6344,0.8549
Clade4,39.7479,0.7568,0.6279,0.8472
Clade4,39.9328,0.7536,0.6291,0.8444
Clade4,40.1176,0.7474,0.6182,0.8454
Clade4,40.3025,0.7451,0.6155,0.844
Clade4,40.4874,0.7432,0.6105,0.8386
Clade4,40.6723,0.7409,0.6026,0.8352
Clade4,40.8571,0.7339,0.6033,0.8337
Clade4,41.042,0.7312,0.5982,0.8321
Clade4,41.2269,0.7246,0.5988,0.8314
Clade4,41.4118,0.7237,0.5745,0.8251
Clade4,41.5966,0.7189,0.5769,0.8234
Clade4,41.7815,0.7118,0.5729,0.8214
Clade4,41.9664,0.7089,0.5681,0.8204
Clade4,42.1513,0.7038,0.5643,0.8159
Clade4,42.3361,0.701,0.5565,0.808
Clade4,42.521,0.6973,0.5496,0.8053
Clade4,42.7059,0.6874,0.5471,0.8002
Clade4,42.8908,0.687,0.5419,0.7962
Clade4,43.0756,0.6803,0.5306,0.7988
Clade4,43.2605,0.6742,0.5215,0.7871
Clade4,43.4454,0.6686,0.5245,0.7889
Clade4,43.6303,0.6641,0.5091,0.7813
Clade4,43.8151,0.6568,0.5108,0.7764
Clade4,44.0,0.6497,0.5,0.7731
para,22.0,0.5658,0.4196,0.6924
para,22.1849,0.5668,0.4271,0.6967
para,22.3697,0.5706,0.4216,0.696
para,22.5546,0.5732,0.4357,0.6977
para,22.7395,0.5802,0.4355,0.7023
para,22.9244,0.5792,0.4371,0.7056
para,23.1092,0.5822,0.434,0.7127
para,23.2941,0.5845,0.4437,0.7146
para,23.479,0.5868,0.4514,0.7142
para,23.6639,0.5916,0.4476,0.7158
para,23.8487,0.5932,0.4449,0.7152
para,24.0336,0.5954,0.4468,0.717
para,24.2185,0.597,0.4537,0.7219
para,24.4034,0.6004,0.4538,0.7211
para,24.5882,0.6017,0.4654,0.7243
para,24.7731,0.6068,0.4683,0.7238
para,24.958,0.6065,0.4654,0.7338
para,25.1429,0.6101,0.4691,0.7315
para,25.3277,0.6119,0.4658,0.7321
para,25.5126,0.6178,0.4722,0.7361
para,25.6975,0.6184,0.473,0.7328
para,25.8824,0.6187,0.4801,0.7417
para,26.0672,0.6236,0.4832,0.7431
para,26.2521,0.624,0.4815,0.7439
para,26.437,0.6257,0.4834,0.7409
para,26.6218,0.6286,0.4875,0.7448
para,26.8067,0.6285,0.4895,0.7492
