variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
sd_Isolate__lnB0_Intercept,0.13295823126110312,0.03859139164397226,0.07924132443016617,0.1262517368901261,0.2264443624101954,1.0005137701099824,4891.094070814541,6823.575330949784
sd_Isolate__E_Intercept,0.02381096239612095,0.018892673391018397,0.0010715687523655234,0.019726423914075204,0.07005288700400579,1.000539108751798,4458.517517488662,6847.443008133319
sd_Isolate__Th_Intercept,0.4447496310669114,0.20074370241048028,0.07138475838649688,0.42686425751216783,0.8983081627181475,1.0012553219198017,4083.179816658262,3051.6676371600065
sigma,0.12261811081501077,0.006632220686636011,0.11005966758910013,0.12245817483518623,0.1359665437390761,1.0002444017946912,12273.66982139706,9882.399691197146
nu,4.076906859188124,0.7672082421994965,2.9020474610639555,3.969624967890468,5.910939057508392,1.0001747068315503,12940.699101135222,8993.194269472428
"r_Isolate__lnB0[Clade1_2068,Intercept]",0.013812063390854194,0.08359707093912491,-0.1528405336656697,0.013097706322493963,0.18172980867424568,1.0005062400816478,7200.297718819136,7122.222939056497
"r_Isolate__lnB0[Clade1_2069,Intercept]",0.003339479210010963,0.08419702757995898,-0.16775831597571178,0.003952467480021738,0.1724319816492188,1.000395676688109,7477.869341634785,7114.645284030045
"r_Isolate__lnB0[Clade1_2070,Intercept]",-0.02201974572374335,0.08371887751625322,-0.18966059933483326,-0.021944185823008854,0.14476981274749287,1.0011251491323014,7223.31150701046,7047.458603919115
"r_Isolate__lnB0[Clade2_2071,Intercept]",0.21543388281996873,0.08584244944523049,0.05216860463336551,0.2117420877004078,0.39387308484661254,1.0000880292326038,8284.259654205533,8027.880240707799
"r_Isolate__lnB0[Clade2_2072,Intercept]",0.009318629865977417,0.08421969671708879,-0.1589696457159356,0.009425554925896962,0.1753484436827464,1.0003662431670879,8608.595636816497,8539.476459716918
"r_Isolate__lnB0[Clade2_2073,Intercept]",-0.23212175733990026,0.085467263959841,-0.41163546474945256,-0.22899435621737224,-0.07094552477538703,1.0001487048159738,8853.804074654452,8383.258236968597
"r_Isolate__lnB0[Clade3_2074,Intercept]",-0.05233256267410819,0.08301493514925921,-0.2204360395741453,-0.05092668723352395,0.11363976809671417,1.0003326705306665,7665.56744240798,8273.672399124658
"r_Isolate__lnB0[Clade3_2075,Intercept]",0.05937730665679698,0.08329138462382595,-0.10304763310453813,0.0589637754839481,0.2290875029664707,1.0004741014468874,7501.714139041966,8173.934264965323
"r_Isolate__lnB0[Clade3_2076,Intercept]",-0.011243356878754048,0.08322844004613277,-0.17580166983206533,-0.011122548627601099,0.155138275051695,1.0002484837242434,7647.703960945603,7864.051831913707
"r_Isolate__lnB0[Clade4_2077,Intercept]",-0.0765644165726468,0.08478092957701158,-0.2519265345902844,-0.07468002031872388,0.08564079413332486,1.0005982719131423,8507.929271286657,8287.055356253662
"r_Isolate__lnB0[Clade4_2078,Intercept]",0.036163920740850945,0.08475238644451231,-0.13472525647110023,0.03650455187841776,0.20531104563946306,1.0003815307942108,8679.34295909723,7623.064254232472
"r_Isolate__lnB0[Clade4_2079,Intercept]",0.03371605592933187,0.08452073826540227,-0.13618581166241117,0.03387243613725496,0.20158822999302803,1.000420915594824,8630.133468336715,7907.007221051867
