clade,T,n,resp,sd_rep_logR,sd_tmp_logR,cue,sd_rep_cue,sd_tmp_cue,sd_tot_logR,resp_lo,resp_hi,sd_tot_cue,cue_lo,cue_hi
clade3,34,15,1198.1101971720211,0.05642463730023757,0.013434412702979737,0.441005215864952,0.019043238433052313,0.0032871604454490643,0.058001923581354996,1069.361465929151,1342.3599879955689,0.019324863616910874,0.4031284831758067,0.4788819485540973
clade3,36,14,1204.553895297528,0.06088838408640462,0.05334573645426321,0.48020488653540094,0.018775970648779325,0.013288506028843334,0.080951608473836,1027.8241935059475,1411.6714666223238,0.023002640419795904,0.43511971131260097,0.5252900617582009
clade3,38,15,1478.8074454438697,0.08441164367729685,0.05477637775042066,0.3789620869761865,0.028567736826526913,0.01310965738175281,0.10062692059165733,1214.1050469365343,1801.2209620726003,0.03143212853207125,0.31735511505332686,0.44056905889904613
clade3,40,15,1361.31041826894,0.09456747435622738,0.03486456081396472,0.40698025451180664,0.029086064605278104,0.009313993666618503,0.10078960664109354,1117.283340170763,1658.6357177798095,0.030540950087451786,0.34711999234040114,0.46684051668321214
clade3,42,15,2447.662796405733,0.09005827701947033,0.07298276090938915,0.25196609231365835,0.0285600917104069,0.014550071465047332,0.11591797379903049,1950.2047751307744,3072.0123554753327,0.032052822311691015,0.18914256058274398,0.3147896240445727
clade3,44,12,2785.335130139534,0.06959239041446398,0.2511898070085096,0.15386897564598417,0.01535326941126593,0.04143373079342718,0.26065191337983973,1671.113966560514,4642.467205966279,0.04418684113033098,0.06726276703053545,0.24047518426143288
clade4,22,15,755.7078947636975,0.050924775514052716,0.004472788852239007,0.29525157258297163,0.014020392715959742,8.956898241809204e-4,0.05112082355824656,683.6582134187915,835.3507805490839,0.014048974061150453,0.26771558342311674,0.3227875617428265
clade4,24,15,694.4868045875294,0.04959248090702625,0.009528740173240124,0.3842636030142278,0.013598219541860425,0.0020342080900247347,0.05049961437281361,629.0394151729494,766.7435618697906,0.013749530074230059,0.35731452406873687,0.4112126819597187
clade4,26,15,702.132065038242,0.07484903173317516,0.03785971207819805,0.45838781099098047,0.01896781229316714,0.009541565869656606,0.08387929035249354,595.6886338198876,827.5958424681413,0.02123250768123771,0.41677209593575454,0.5000035260462063
clade4,28,15,788.1762792156476,0.08706024336430926,0.03984321901030574,0.48674339333568184,0.03010668725146313,0.011751633900193306,0.09574428482032724,653.3173318435266,950.8730548526283,0.032318934335488,0.42339828203812535,0.5500885046332383
clade4,30,15,746.1850529812524,0.06653036977694472,0.1821499719083515,0.5372448429656999,0.020454225717363897,0.0448588642040744,0.19391983490316364,510.2448728492139,1091.2253369318541,0.04930205926101321,0.44061280681411397,0.6338768791172857
clade4,32,15,727.2771142690738,0.09643928415781151,0.26062209150325244,0.6029761838973196,0.028001579797737625,0.052924529707708695,0.277892803268456,421.8448892960933,1253.854234958607,0.05987565712333526,0.48561989593558247,0.7203324718590567
clade4,34,15,910.3431131120598,0.09374488063707612,0.02978071492356782,0.5579814516016278,0.028156498376103237,0.007249629049545935,0.0983615454688389,750.7201506532331,1103.9061398171457,0.0290748262618975,0.5009947921283088,0.6149681110749469
clade4,36,15,887.2740093224386,0.10389410135773089,0.06087392090791943,0.5814560817174756,0.032428794503480546,0.014446502188498876,0.12041436186615818,700.7433514824811,1123.4572057710013,0.03550110052422703,0.5118739246899907,0.6510382387449606
clade4,38,15,952.4697627607516,0.06716371728601857,0.0055267215649851265,0.5623313030860609,0.020435659713564428,0.0014190877010627995,0.06739072318155594,834.6166719446577,1086.9644466360212,0.02048487241434293,0.5221809531539487,0.6024816530181731
clade4,40,15,1216.9462334151915,0.06746497893764455,0.10140968079581648,0.4523017822659215,0.020992623724715033,0.025787459928424787,0.12180084869230678,958.5006579907503,1545.0778491147507,0.03325181709933433,0.3871282207512262,0.5174753437806168
clade4,42,14,1499.006239897666,0.13845368183240764,0.03990851012516,0.41252077455991365,0.04121543200344989,0.01008478375178818,0.14409063534234126,1130.1888430982879,1988.1807549012633,0.04243129385902971,0.3293554385962154,0.4956861105236119
clade4,44,11,1907.0812395308244,0.09369853509470986,0.24082760234881015,0.2716603482566533,0.024746953336331562,0.06018660476416852,0.2584131373053065,1149.2208342279862,3164.717124723579,0.06507564131431057,0.1441120912806046,0.399208605232702
glab,22,14,74.66162248077737,0.1211715823633725,0.0027425704811671627,0.6785631554993559,0.04021701056320054,9.888785493169167e-4,0.12120261575266325,58.87455994823429,94.6819454168897,0.040229166278036174,0.5997139895944049,0.7574123214043068
glab,24,15,104.79500071173844,0.20725758224210616,0.047686496648569394,0.6087708148306032,0.05369618176423805,0.011498645016297953,0.21267277061123133,69.0732431970669,158.99053911282965,0.05491355728113891,0.501140242559571,0.7164013871016355
glab,26,15,79.38685671175523,0.21021032460743622,0.06059608104350178,0.7634033261521537,0.049638961091651564,0.0128917082640473,0.21876989191704224,51.704449094390064,121.8903426872902,0.05128569586369871,0.6628833622593042,0.8639232900450031
glab,28,14,79.25629501794924,0.17011554279376884,0.07478829110625818,0.7845708400703725,0.03641525710041209,0.010828251690540263,0.1858294551103592,55.06207086069417,114.0814393970836,0.03799107769414815,0.7101083277898421,0.8590333523509028
glab,30,15,109.83217930873325,0.21462492359706428,0.14648713435235572,0.7758482496254899,0.05992180626443416,0.02128794497372383,0.25985060777264074,65.99944724610717,182.77588851196396,0.06359087565992998,0.6512101333320272,0.9004863659189527
glab,32,15,90.19506047730734,0.2434883639495907,0.005323366929077977,0.8225553035032925,0.05823431453942076,7.653570529549139e-4,0.24354654917347923,55.95923209413586,145.37635042632468,0.058239343757417975,0.7084061897387532,0.9367044172678318
glab,34,15,86.62793273056903,0.2581240457686164,0.1949395082347365,0.8551741904480503,0.05994435656864133,0.02348059975118566,0.3234647351331512,45.95356506564787,163.30395081320535,0.06437906840816969,0.7289912163680378,0.9813571645280629
glab,36,15,79.34378716671941,0.25652509895812065,0.11891937846180743,0.8780537402559186,0.038886901583843864,0.011054572569299054,0.2827489079894318,45.58607457124279,138.09999262206793,0.04042764758777658,0.7988155509838766,0.9572919295279607
glab,38,15,194.0052419711876,0.1210331579739393,0.06693826404030212,0.7459326269478433,0.044309057719444274,0.010884529968124891,0.13831036303138586,147.9385326595172,254.4167042600291,0.04562636944368961,0.6565049428382117,0.835360311057475
glab,40,15,287.49660959844994,0.153345141988474,0.24652487181680038,0.5485344656102086,0.06192267997173343,0.062018870145003784,0.29032610112725843,162.74294138753305,507.88255285236767,0.0876399369519659,0.3767601891843554,0.7203087420360618
glab,42,10,485.32133430797535,0.0907793867418583,0.022232776665912005,0.46768242269219007,0.02845224205176739,0.004499767431566561,0.0934622566360571,404.08497641722795,582.8892715161869,0.0288058671924757,0.4112229229949377,0.5241419223894425
glab,44,10,912.3220213182369,0.1279397612063463,0.39900621256608415,0.09826519773204308,0.014349687256264029,0.05268919022581409,0.41901615740191694,401.3048459360541,2074.0628452685605,0.0546082804252671,0,0.2052974273655666
para,22,15,3205.0646549122744,0.11696535370424922,0.005928886979214232,0.25771526661969646,0.026494715986101484,0.0012300055455025318,0.11711552274558835,2547.6868726343573,4032.065146038153,0.026523251852405814,0.20572969298898106,0.30970084025041184
para,24,15,4013.9257015090343,0.06466476801177153,0.0028446373882566878,0.2557320329376474,0.018748933893444744,5.425775541904581e-4,0.06472730632342812,3535.674968829718,4556.866702757921,0.018756783107533988,0.21896873804688077,0.29249532782841403
para,26,15,2460.7536636983978,0.10714027421264394,0.046803199123635064,0.4369875564139963,0.028065442229794013,0.012932430470894523,0.11691696971170254,1956.7998508815535,3094.4956331007097,0.03090172819501243,0.3764201691517719,0.49755494367622066
para,28,14,3932.6169048325964,0.08595517823935143,0.0668398134392183,0.3508771072263118,0.027054580254306515,0.01483395103577097,0.10888458718637906,3176.8536618599937,4868.173786487961,0.030854439163082555,0.29040240646667004,0.4113518079859536
para,30,15,3106.2813936535636,0.18796921560043975,0.024323954538124637,0.4323128913361371,0.0509956134591199,0.00807867631934416,0.18953648930434835,2142.4173587147056,4503.783568271223,0.05163155627273598,0.3311150410415746,0.5335107416306997
para,32,15,4468.13385555857,0.1234887423244028,0.273909307528897,0.40133151213486024,0.03997131441843716,0.05230053110953689,0.30045927882463974,2479.5340339356726,8051.601582374823,0.06582591838081105,0.2723127121084706,0.5303503121612498
para,34,15,3777.391992610755,0.1711905874449978,0.07402919637843841,0.4344558915804968,0.04635151347998225,0.01671707538341692,0.18651149869699946,2620.7781697169767,5444.447924175421,0.04927396281262367,0.3378789244677544,0.5310328586932391
para,36,14,5189.964386755384,0.0805660716625115,0.054286236881141925,0.31351899040009157,0.025904843719906267,0.013227992368375576,0.0971487900997454,4290.122154006395,6278.546243872066,0.029086778959702114,0.2565089036390754,0.3705290771611077
para,38,15,6078.576125791425,0.09227803428214044,0.13367999717726778,0.23902337811316465,0.02309753966542958,0.02642227090772018,0.1624363791036054,4421.129364009887,8357.386693505236,0.035094625493329444,0.17023791214623896,0.30780884408009035
para,40,4,7268.2930114804,0.04882212855040274,0.169619730278812,0.16393201580234065,0.010438515697680326,0.027384095933068404,0.17650624106826643,5142.653711447346,10272.533649921164,0.02930616522239326,0.10649193196644988,0.22137209963823143
