parameter,group_a,group_b,diff,lo,hi,P_a_greater
growth_Topt_C,Clade1,Clade4,-0.9243697478991635,-3.6974789915966397,1.6638655462184886,0.20308333333333334
growth_Topt_C,Clade1,Duo,2.033613445378151,-0.9243697478991635,4.621848739495803,0.9043333333333333
growth_Topt_C,Clade1,Hae,3.5126050420168085,0.9243697478991564,6.10084033613445,0.99225
growth_Topt_C,Clade1,para,2.033613445378151,-0.36974789915966966,4.621848739495796,0.9388333333333333
growth_Topt_C,Clade2,Clade3,-0.9243697478991635,-3.5126050420168085,1.8487394957983128,0.2085
growth_Topt_C,Clade2,Clade4,-1.6638655462184886,-4.252100840336134,0.9243697478991564,0.08366666666666667
growth_Topt_C,Clade2,Duo,1.294117647058819,-1.4789915966386573,4.067226890756302,0.8040833333333334
growth_Topt_C,Clade2,Hae,2.7731092436974834,0.18487394957983128,5.361344537815128,0.9785
growth_Topt_C,Clade2,para,1.4789915966386502,-1.1092436974789948,4.067226890756302,0.8491666666666666
growth_Topt_C,Clade3,Clade4,-0.7394957983193251,-3.5126050420168085,1.8533613445377553,0.2638333333333333
growth_Topt_C,Clade3,Duo,2.2184873949579824,-0.7394957983193251,4.991596638655466,0.9236666666666666
growth_Topt_C,Clade3,Hae,3.8823529411764675,1.1092436974789877,6.285714285714288,0.99425
growth_Topt_C,Clade3,para,2.4033613445378137,-0.18487394957983838,4.991596638655462,0.9549166666666666
growth_Topt_C,Clade4,Duo,2.9579831932773075,0,5.731092436974791,0.9703333333333334
growth_Topt_C,Clade4,Hae,4.621848739495796,1.8487394957983128,7.025210084033617,0.99783333333333335
growth_Topt_C,Clade4,para,3.142857142857139,0.5546218487394938,5.731092436974787,0.9864166666666667
growth_Topt_C,Duo,Hae,1.6638655462184886,-1.1092436974789948,4.436974789915968,0.87075
growth_Topt_C,Duo,para,0.18487394957983128,-2.588235294117645,3.142857142857139,0.5190833333333333
growth_Topt_C,Hae,para,-1.4789915966386573,-3.882352941176471,1.294117647058826,0.11066666666666666
resp_E_eV,Clade1,Clade2,0.10289999625573404,-0.006865547074690961,0.21515086736124234,0.96625
resp_E_eV,Clade1,Clade3,0.11665658729584125,0.009341822127216508,0.22103662367213264,0.9828333333333333
resp_E_eV,Clade1,Clade4,0.2172167861156432,0.1111202555864434,0.3239601824541765,0.9995
resp_E_eV,Clade1,Duo,0.04365930578610133,-0.09582616540599818,0.1824752903637064,0.7351666666666666
resp_E_eV,Clade1,Hae,0.08532364666839276,-0.03683186719232818,0.19928398912695888,0.9208333333333333
resp_E_eV,Clade1,para,0.1546892731173778,0.03144692877913078,0.2740909987163654,0.9924166666666666
resp_E_eV,Clade2,Clade3,0.012691616874866807,-0.09797056912259515,0.1250885312926327,0.5921666666666666
resp_E_eV,Clade2,Clade4,0.11370168995027205,6.630000978656997e-4,0.22751089374668662,0.9756666666666667
resp_E_eV,Clade2,Duo,-0.06011512411526718,-0.2030482339828733,0.08492593249031337,0.20583333333333334
resp_E_eV,Clade2,Hae,-0.017946491123462027,-0.14556826658661262,0.10164489793733435,0.3879166666666667
resp_E_eV,Clade2,para,0.05006735565670614,-0.07376946568412102,0.17770788809861235,0.7933333333333333
resp_E_eV,Clade3,Clade4,0.10123495716483516,-0.007857375897461572,0.20988931938169714,0.9669166666666666
resp_E_eV,Clade3,Duo,-0.07261730489475346,-0.21332487918764115,0.06820351576296677,0.152
resp_E_eV,Clade3,Hae,-0.030632372068404107,-0.15306264170669318,0.08607778732108806,0.3020833333333333
resp_E_eV,Clade3,para,0.0375802903648447,-0.08136154713889837,0.15960436226142327,0.7360833333333333
resp_E_eV,Clade4,Duo,-0.17291757494020238,-0.3148852608788266,-0.030854075714615833,0.00875
resp_E_eV,Clade4,Hae,-0.13184028279104093,-0.2549191566019081,-0.01543031316447424,0.0135
resp_E_eV,Clade4,para,-0.06322633560831725,-0.18281993020769718,0.05657977048417938,0.149
resp_E_eV,Duo,Hae,0.041623517509892266,-0.11424057645261096,0.18983531255229819,0.7018333333333333
resp_E_eV,Duo,para,0.10987391055752943,-0.041314868344166505,0.2645655111640468,0.9238333333333333
resp_E_eV,Hae,para,0.06800932852742811,-0.05966373355343615,0.2028563711218733,0.8501666666666666
