parameter,Estimate,r_squared,rmse_log,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
Th,310.29352471025817,0.9175325599673164,0.12138385111809219,60,10,Clade4_2077,8,1320
lnB0,5.65963029081799,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,8,1320
E,1.051584812080737,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,8,1320
Eh,2.201275314996235,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,8,1320
Th,309.40275354846005,0.901763636584805,0.1251261409126337,60,11,Clade4_2078,8,1320
lnB0,5.667205678365191,0.9301773420405851,0.10987360781654641,55,12,Clade4_2079,8,1320
E,0.959604675729757,0.9301773420405851,0.10987360781654641,55,12,Clade4_2079,8,1320
Eh,2.6960856839794367,0.9301773420405851,0.10987360781654641,55,12,Clade4_2079,8,1320
Th,310.82579133094504,0.9301773420405851,0.10987360781654641,55,12,Clade4_2079,8,1320
lnB0,5.083437916230435,0.6557958296928974,0.30294181357708017,49,13,glab_2048,8,1320
E,0.9308851006829975,0.6557958296928974,0.30294181357708017,49,13,glab_2048,8,1320
Eh,4.698639602291804,0.6557958296928974,0.30294181357708017,49,13,glab_2048,8,1320
Th,310.0469949476012,0.6557958296928974,0.30294181357708017,49,13,glab_2048,8,1320
lnB0,5.462750272700362,0.5859352465266436,0.39015176723438755,59,14,glab_2049,8,1320
E,0.5425601579848827,0.5859352465266436,0.39015176723438755,59,14,glab_2049,8,1320
Eh,6.271048245284521,0.5859352465266436,0.39015176723438755,59,14,glab_2049,8,1320
Th,314.44234246487787,0.5859352465266436,0.39015176723438755,59,14,glab_2049,8,1320
lnB0,5.45383764553274,0.7994585487203274,0.26437729150573186,59,15,glab_2050,8,1320
E,0.8398263256603128,0.7994585487203274,0.26437729150573186,59,15,glab_2050,8,1320
Eh,5.071164776146662,0.7994585487203274,0.26437729150573186,59,15,glab_2050,8,1320
Th,313.2792271215996,0.7994585487203274,0.26437729150573186,59,15,glab_2050,8,1320
lnB0,7.024799667381741,0.7098832594935838,0.18393998689554758,45,16,para_2051,32,5280
E,0.9791428537692355,0.7098832594935838,0.18393998689554758,45,16,para_2051,32,5280
Eh,2.663961436097344,0.7098832594935838,0.18393998689554758,45,16,para_2051,32,5280
Th,307.4676156097604,0.7098832594935838,0.18393998689554758,45,16,para_2051,32,5280
lnB0,7.24293353140499,0.8023002392340378,0.15119266062318434,49,17,para_2052,32,5280
E,0.7814557321609708,0.8023002392340378,0.15119266062318434,49,17,para_2052,32,5280
Eh,3.4064976817212553,0.8023002392340378,0.15119266062318434,49,17,para_2052,32,5280
Th,309.66336892605995,0.8023002392340378,0.15119266062318434,49,17,para_2052,32,5280
lnB0,7.119350247232501,0.7445184235476098,0.1626795209008577,43,18,para_2053,32,5280
E,0.8386595561109385,0.7445184235476098,0.1626795209008577,43,18,para_2053,32,5280
Eh,2.9953205982154762,0.7445184235476098,0.1626795209008577,43,18,para_2053,32,5280
Th,308.5583080823167,0.7445184235476098,0.1626795209008577,43,18,para_2053,32,5280
lnB0,5.677762192056681,0.878599024223331,0.14368207650053824,60,19,Hae_1724,8,1320
E,1.0856133981400016,0.878599024223331,0.14368207650053824,60,19,Hae_1724,8,1320
Eh,2.513776418151177,0.878599024223331,0.14368207650053824,60,19,Hae_1724,8,1320
Th,309.06852641132775,0.878599024223331,0.14368207650053824,60,19,Hae_1724,8,1320
lnB0,6.177324791679685,0.8797158547129005,0.13875459815168764,44,20,Hae_1768,8,1320
E,0.422217180317931,0.8797158547129005,0.13875459815168764,44,20,Hae_1768,8,1320
Eh,5.401782127538962,0.8797158547129005,0.13875459815168764,44,20,Hae_1768,8,1320
Th,308.7230025927769,0.8797158547129005,0.13875459815168764,44,20,Hae_1768,8,1320
lnB0,5.8057708551538845,0.7062867723724634,0.14599269028686915,40,21,Hae_1769,8,1320
E,0.48714533311710895,0.7062867723724634,0.14599269028686915,40,21,Hae_1769,8,1320
Eh,3.876072318627086,0.7062867723724634,0.14599269028686915,40,21,Hae_1769,8,1320
Th,307.24916307893227,0.7062867723724634,0.14599269028686915,40,21,Hae_1769,8,1320
lnB0,6.008404335378326,0.9206609884301417,0.127830260981986,43,22,Duo_1770,8,1320
E,0.5560246587782158,0.9206609884301417,0.127830260981986,43,22,Duo_1770,8,1320
Eh,9.22058478545613,0.9206609884301417,0.127830260981986,43,22,Duo_1770,8,1320
Th,309.53019381525195,0.9206609884301417,0.127830260981986,43,22,Duo_1770,8,1320
lnB0,5.908318673108772,0.8720860455939587,0.12738387471297108,45,23,Duo_1771,8,1320
E,0.7313801671357635,0.8720860455939587,0.12738387471297108,45,23,Duo_1771,8,1320
Eh,4.4658678362733095,0.8720860455939587,0.12738387471297108,45,23,Duo_1771,8,1320
Th,308.29653045025094,0.8720860455939587,0.12738387471297108,45,23,Duo_1771,8,1320
