T,OTU,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid
22,1,R5,K,0.002110702727485273,2.8866814398549006e-5,73.11865792823221,1.382888844154725e-259,475.4599999999999,TRUE,TRUE,1610.2431066806841,TRUE
22,1,R5,O2_0,10.031708971470014,0.006010519487222077,1669.0252802268906,0,475.4599999999999,TRUE,TRUE,1610.2431066806841,TRUE
22,2,R1,r,0.0038283857670708614,6.82180690477001e-5,56.119820166618034,1.3591639174109062e-188,392.22999999999996,TRUE,TRUE,878.2065219659705,TRUE
22,2,R1,K,0.0032480124712262783,5.303302287419536e-5,61.24509400362101,7.369087701239463e-202,392.22999999999996,TRUE,TRUE,878.2065219659705,TRUE
22,2,R1,O2_0,10.393753650006552,0.00696245509639574,1492.828823468764,0,392.22999999999996,TRUE,TRUE,878.2065219659705,TRUE
22,2,R2,r,0.004791169056606754,5.204897028303529e-5,92.05117854499372,2.7865e-320,514.55,TRUE,TRUE,1539.2504865587591,TRUE
22,2,R2,K,0.0025061455678763314,4.4507504921924095e-5,56.3083815251531,2.87075931389341e-221,514.55,TRUE,TRUE,1539.2504865587591,TRUE
22,2,R2,O2_0,10.843209968366084,0.010637157767590529,1019.3709828581615,0,514.55,TRUE,TRUE,1539.2504865587591,TRUE
22,2,R3,r,0.005277088507493177,2.26877892136422e-5,232.5959774132623,0,480.50000000000006,TRUE,TRUE,2344.974303496476,TRUE
22,2,R3,K,0.0023239461528570915,1.6890787957517718e-5,137.58660393476518,0,480.50000000000006,TRUE,TRUE,2344.974303496476,TRUE
22,2,R3,O2_0,10.411340551584535,0.003867856157733249,2691.760015627387,0,480.50000000000006,TRUE,TRUE,2344.974303496476,TRUE
22,2,R4,r,0.0037857256304745608,1.020255056541521e-4,37.10567868497003,5.597877605563361e-133,412.33000000000004,TRUE,TRUE,636.6202126352662,TRUE
22,2,R4,K,0.005415488167106905,1.3980731902393505e-4,38.735369542275336,6.317191642692538e-139,412.33000000000004,TRUE,TRUE,636.6202126352662,TRUE
22,2,R4,O2_0,10.888941000916384,0.019664610226363382,553.7328670932981,0,412.33000000000004,TRUE,TRUE,636.6202126352662,TRUE
22,2,R5,r,0.0038932730840364024,2.224119836692946e-5,175.04781081514602,0,494.54999999999995,TRUE,TRUE,2074.298491973688,TRUE
22,2,R5,K,0.0032301255313474508,2.253910260611962e-5,143.31207359029614,0,494.54999999999995,TRUE,TRUE,2074.298491973688,TRUE
22,2,R5,O2_0,10.04021777070278,0.004286930787283583,2342.0526873177655,0,494.54999999999995,TRUE,TRUE,2074.298491973688,TRUE
22,3,R1,r,0.004951858423273577,4.8924383993981585e-5,101.21452778808064,0,510.59000000000003,TRUE,TRUE,1626.5106341241228,TRUE
22,3,R1,K,0.0017656197437796476,2.9388472181094267e-5,60.07865032587433,1.0369889655940658e-232,510.59000000000003,TRUE,TRUE,1626.5106341241228,TRUE
22,3,R1,O2_0,9.98644203228871,0.007131960809037717,1400.2379289064177,0,510.59000000000003,TRUE,TRUE,1626.5106341241228,TRUE
22,3,R2,r,0.005069813378800439,4.011664991834977e-5,126.37678841875214,0,530.5999999999999,TRUE,TRUE,1908.039813589816,TRUE
22,3,R2,K,0.0019146586990872847,2.748330060258603e-5,69.66625758578377,4.907388376202638e-268,530.5999999999999,TRUE,TRUE,1908.039813589816,TRUE
22,3,R2,O2_0,10.577661421672753,0.0073575847790172105,1437.6540317739518,0,530.5999999999999,TRUE,TRUE,1908.039813589816,TRUE
22,3,R3,r,0.004726998769106449,4.423311177395618e-5,106.86561671859673,0,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R3,K,0.0020517212672499984,2.925358768423894e-5,70.13571427190833,5.136661441451545e-257,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R3,O2_0,10.527535699450967,0.006346942155734462,1658.6783747413451,0,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R4,r,0.004714949946162854,3.4273324401587565e-5,137.56908699362862,0,581.77,TRUE,TRUE,2127.0569605489395,TRUE
22,3,R4,K,0.0021517598568328556,2.9039115886801295e-5,74.09866971228494,2.671425719912572e-297,581.77,TRUE,TRUE,2127.0569605489395,TRUE
22,3,R4,O2_0,9.650380256114294,0.008693639515870873,1110.0506569770716,0,581.77,TRUE,TRUE,2127.0569605489395,TRUE
22,3,R5,r,0.004846197373009392,3.584810246757615e-5,135.18699845808226,0,433.40999999999997,TRUE,TRUE,1672.5904002568484,TRUE
