T,OTU,Replicate,clade,respiration_fgC_h,resp_corr,cue_pipe,cue_corr,growth_fgC_h,resp_swing,cue_swing
22,5,R5,clade2,634.3346153296461,609.2359203155593,0.1676029584365386,0.1733110307066494,127.7231331436044,-3.956696419766359,3.405710927395189
22,6,R1,clade2,537.8623460239546,503.68832181211,0.15881934452895977,0.16778686152085837,101.55124786422756,-6.353674776542661,5.646363179809888
22,6,R2,clade2,460.3268062759656,440.1237157326851,0.20509099717559545,0.21250474114615744,118.7669071432694,-4.388858147697949,3.614855879907042
22,6,R3,clade2,400.73152714929614,384.23734098980134,0.25351704838599687,0.2615533754451495,136.0945668463633,-4.116019090594225,3.1699355567270437
22,6,R4,clade2,502.8164430485326,470.10843929997594,0.18729352634506052,0.19774770044554338,115.8773404367204,-6.504959056281234,5.581706054923963
22,6,R5,clade2,608.1760116396769,560.9268654551987,0.133565746718131,0.14320535890421893,93.7537762652164,-7.768992081271309,7.217128959291319
22,7,R1,clade3,271.6234848940502,268.04949565596655,0.5529357577453531,0.5562076031855281,335.9479986229295,-1.3157880068719763,0.5917225273178728
22,7,R2,clade3,280.09587893470996,277.6934426075641,0.5547949927763791,0.5569216589113835,349.0432241527388,-0.8577192696597402,0.38332468077295623
22,7,R3,clade3,291.05500443309853,289.3748854755475,0.5481799683182462,0.5496134355960651,353.1284846205862,-0.5772513552287029,0.26149574239580087
22,7,R4,clade3,353.78203988827187,342.33305724631356,0.45072355354791976,0.45888038685960475,290.30536304597433,-3.2361684175867156,1.8097197822207312
22,7,R5,clade3,264.44800844312067,260.5284218362442,0.5615349083885796,0.565208098129863,338.6741408509938,-1.4821766402977166,0.6541338190040991
22,8,R1,clade3,205.8252804530681,203.46752789318134,0.6256989980824548,0.6283933360411775,344.06713073104453,-1.1455116469156867,0.4306124777217146
22,8,R2,clade3,231.75041032973755,227.41936736569954,0.5911885698782255,0.5957400411004831,335.1378742290016,-1.8688393940169301,0.769884847942004
22,8,R3,clade3,199.23196280676171,199.5413419001764,0.6514860135992299,0.6511336246476512,372.4293494530479,0.155285873338884,-0.054090025606501335
22,8,R4,clade3,191.88591214437045,191.19010750981755,0.6562016751860406,0.657020756602081,366.24918711245743,-0.36261371498153006,0.12482159784310554
22,8,R5,clade3,197.38662704718823,204.61875245990694,0.6786980345814465,0.670801156956929,416.9470785996374,3.6639389004756495,-1.1635332978955137
22,9,R1,clade3,255.56534026875983,253.68413482838483,0.5791263522165905,0.5809260802430659,351.6604663711445,-0.7360956843352362,0.31076603915312084
22,9,R2,clade3,293.12264623111594,287.29447608197614,0.5320845615481095,0.5370813422511563,333.32098469698354,-1.988304289715137,0.9390952236066896
22,9,R3,clade3,228.52659985611464,227.84789352062432,0.6111655264337593,0.6118721214552416,359.19546542311923,-0.29699226957283775,0.11561434520126479
22,9,R4,clade3,229.25189533970652,228.5308795510227,0.6094438953851514,0.6101934146272994,357.7364851537591,-0.3145081036801889,0.1229841250069974
