T,OTU,Replicate,drawdown
28.0,14,R3,5.99
28.0,14,R4,8.360000000000001
28.0,14,R5,8.510000000000002
28.0,15,R1,7.06
28.0,15,R2,7.130000000000001
28.0,15,R3,7.02
28.0,15,R4,7.9399999999999995
28.0,15,R5,7.42
28.0,16,R1,8.27
28.0,16,R2,8.03
28.0,16,R3,8.06
28.0,16,R4,8.1
28.0,16,R5,8.229999999999999
28.0,17,R1,8.37
28.0,17,R2,8.129999999999999
28.0,17,R3,8.33
28.0,17,R4,8.33
28.0,17,R5,7.21
28.0,18,R2,8.02
28.0,18,R3,8.26
28.0,18,R4,6.550000000000001
28.0,18,R5,8.190000000000001
28.0,19,R1,7.709999999999999
28.0,19,R2,7.74
28.0,19,R3,7.609999999999999
28.0,19,R4,6.989999999999999
28.0,19,R5,7.800000000000001
28.0,20,R1,7.66
28.0,20,R2,7.799999999999999
28.0,20,R3,7.709999999999999
28.0,20,R4,7.53
28.0,20,R5,7.52
28.0,21,R1,6.75
28.0,21,R2,7.67
28.0,21,R3,7.719999999999999
28.0,21,R4,6.0
28.0,21,R5,7.6000000000000005
28.0,22,R1,6.669999999999999
28.0,22,R2,6.25
28.0,22,R3,6.490000000000001
28.0,22,R4,6.300000000000001
28.0,22,R5,6.24
28.0,23,R1,6.569999999999999
28.0,23,R2,6.300000000000001
28.0,23,R3,6.440000000000001
28.0,23,R4,6.49
28.0,23,R5,6.31
30.0,1,R1,7.22
30.0,1,R2,6.649999999999998
30.0,1,R3,6.5600000000000005
30.0,1,R4,6.359999999999999
30.0,1,R5,6.57
30.0,2,R1,6.43
30.0,2,R2,6.930000000000001
30.0,2,R3,6.38
30.0,2,R4,5.760000000000001
30.0,2,R5,6.67
30.0,3,R1,6.48
30.0,3,R2,6.81
30.0,3,R3,6.949999999999999
30.0,3,R4,5.860000000000001
30.0,3,R5,6.26
30.0,4,R1,7.1
30.0,4,R2,7.51
30.0,4,R3,6.629999999999999
30.0,4,R4,7.120000000000001
30.0,4,R5,6.290000000000001
