Group,T_C,tax,lo,hi
Clade1,34.75,1.0735360427372456,1.0070785463120253,1.234824056739312
Clade1,35,1.087250440402216,1.011274673570076,1.2629233035860479
Clade1,35.25,1.102343800692012,1.0164271115305363,1.2932660444158723
Clade1,35.5,1.1193964455329728,1.022749464022791,1.326228194777376
Clade1,35.75,1.1379115884810662,1.0302309061016892,1.3619273767700886
Clade1,36,1.158071989251815,1.038732400779282,1.3982089921772183
Clade1,36.25,1.180144129433515,1.0486870845454208,1.4378331350511595
Clade1,36.5,1.2042803635155832,1.059964530487337,1.4803486294652974
Clade1,36.75,1.230138210486583,1.073002149777205,1.5278859043217237
Clade1,37,1.2585121547245972,1.0874052848678017,1.5792200619269163
Clade1,37.25,1.288496124988455,1.102644414183438,1.634360699742822
Clade1,37.5,1.3217354489108828,1.1196255229197773,1.6924980813853836
Clade1,37.75,1.3570603640176158,1.1380800736416083,1.7523967856066387
Clade1,38,1.395286001274986,1.1583351946136289,1.8187074414845625
Clade1,38.25,1.4361178397826726,1.180505897992906,1.8907554564893259
Clade1,38.5,1.4799056336531338,1.204327740588984,1.962498600451698
Clade1,38.75,1.5273256182538277,1.2307063727306629,2.042755751321747
Clade1,39,1.578836659698809,1.2591237511818372,2.129858900028495
Clade1,39.25,1.6322512616488924,1.289351680895124,2.2234514348516177
Clade1,39.5,1.6902394553341797,1.3225544057655363,2.3290100412226136
Clade1,39.75,1.751555711249305,1.3586231623887375,2.43567056238179
Clade1,40,1.818054548659176,1.3973842209137715,2.5500274789747
Clade1,40.25,1.8895668939138017,1.4413046904858218,2.6712634723189925
Clade1,40.5,1.964003771660638,1.487069930266028,2.7978060768269266
Clade1,40.75,2.0436093228773595,1.5378618655569598,2.9350265918903067
Clade1,41,2.128752721202841,1.5902222424490131,3.0812990071435404
Clade1,41.25,2.2187786168078953,1.6474313708606934,3.2315865338947054
Clade1,41.5,2.3121555421619595,1.7082807584837012,3.3898860804255815
Clade1,41.75,2.4164000694775085,1.7724064425928987,3.560560942634541
Clade1,42,2.5251728715259985,1.837777685301027,3.7466512284401867
Clade1,42.25,2.6388546160077864,1.9128937168024696,3.938458019470327
Clade1,42.5,2.7609783157784555,1.9893639012441855,4.1580593910605455
Clade1,42.75,2.890923315946483,2.0709586697562696,4.379253630515329
Clade1,43,3.025849629468759,2.1563546423298092,4.607473852410111
Clade1,43.25,3.1747658048956504,2.249089222969137,4.867904058655217
Clade1,43.5,3.3391070264456104,2.3440736519189986,5.148452203127153
Clade1,43.75,3.5050843040935833,2.4440753829992734,5.429458423630638
Clade1,44,3.6798154969288497,2.5509451906200957,5.728323883853335
Clade2,22,2.171995050802238,1.724665738749364,2.9148430500802025
Clade2,22.25,2.120954229980523,1.6920781201878845,2.831208785283261
Clade2,22.5,2.070990865206011,1.6559315559538432,2.752514798040382
Clade2,22.75,2.0248194281077168,1.6207240783370482,2.6750988043241417
Clade2,23,1.9758136197247025,1.5848771451277146,2.6014475154790033
Clade2,23.25,1.9278283369608262,1.5540716810412614,2.530218711405884
Clade2,23.5,1.8827370550376048,1.526468431449726,2.4588111214336035
Clade2,23.75,1.8403726877544102,1.4976313495796494,2.3913469403839382
Clade2,24,1.7980410669624036,1.4698432062312474,2.3274818236210537
Clade2,24.25,1.758025748333277,1.4439426422483197,2.2670589870826525
Clade2,24.5,1.7188366796546957,1.4165691874437463,2.2085317501288966
Clade2,24.75,1.6800750182325115,1.3903128822659094,2.1456628834504103
Clade2,25,1.6431330339135304,1.3666710964306352,2.0850818696825755
Clade2,25.25,1.6074368567512871,1.3413172773087374,2.0296315270178074
Clade2,25.5,1.5706050850368642,1.3156057343087866,1.9779065593011769
Clade2,25.75,1.5361769764353292,1.2913939607511882,1.925363293998197
Clade2,26,1.5007632014935233,1.265793617529522,1.8765918230612963
Clade2,26.25,1.4688231865293155,1.2437172184579994,1.8276200341205504
Clade2,26.5,1.4374364601966458,1.2233710491111052,1.781656481411249
Clade2,26.75,1.4076457319028122,1.2033160020885951,1.7375747683679352
Clade2,27,1.3793686565995469,1.184052794232663,1.6969850012462102
Clade2,27.25,1.3522667031746098,1.166640093643416,1.654641802407434
Clade2,27.5,1.3247248744058466,1.1463921400989723,1.6152439410183579
Clade2,27.75,1.298698560800595,1.1292451978183093,1.577617760852846
Clade2,28,1.2743808678355748,1.1127620026961416,1.5421439077660082
Clade2,28.25,1.2507034059262556,1.096511863174272,1.5061328877435733
Clade2,28.5,1.2278539513028135,1.0822965067290617,1.4710656624890346
Clade2,28.75,1.2062047587706572,1.0690571161145233,1.439013441464291
Clade2,29,1.1854261278246065,1.0572545632508952,1.4067123222088567
Clade2,29.25,1.1651769507050516,1.0458219255278902,1.3747124852985104
Clade2,29.5,1.1464431498240049,1.0359252670929049,1.343965732167362
Clade2,29.75,1.1277765868732137,1.0271201177002993,1.316404152077748
Clade2,30,1.1108089379786257,1.0194011620345234,1.2889286590609679
Clade2,30.25,1.0944407559714708,1.013020259333571,1.2649743630485504
Clade2,30.5,1.079319540000839,1.007506065298569,1.239279474345337
Clade2,30.75,1.0656501641140088,1.0036076767401758,1.2136817818601968
Clade2,31,1.0532140978296682,1.0014040622705118,1.190110752129625
Clade2,31.25,1.041900475188935,1.0007493391263569,1.1687781648568984
Clade2,31.5,1.0318354334415147,1.000287907977284,1.1492479685897359
Clade2,31.75,1.0232454615809834,1.0000728160664416,1.1310398392472607
Clade2,32,1.0162291155563283,1.0000445799541116,1.113509356707208
Clade2,32.25,1.0111793436278886,1.0000219619426818,1.096965555049541
Clade2,32.5,1.0076229079657049,1.0000186930531632,1.0838768162743921
Clade2,32.75,1.0057766874017073,1.00001631511957,1.074586864181303
Clade2,33,1.0048568274902778,1.000013501990062,1.0753174846718805
Clade2,33.25,1.0050697981175654,1.000007509692077,1.0739095007512454
Clade2,33.5,1.0060645662244831,1.0000110745990556,1.0822867354348285
Clade2,33.75,1.0085988845864353,1.0000241587096288,1.0948717944826774
Clade2,34,1.0127368581530476,1.0000235811140628,1.1158695998403658
Clade2,34.25,1.0197893948371612,1.0001219220031157,1.1405703318927776
Clade2,34.5,1.0288747381156957,1.0001238184523478,1.1689055250599587
Clade2,34.75,1.0398382035658966,1.00027486990409,1.1996306746903396
Clade2,35,1.0536767649969947,1.0005829435626565,1.2322419798079598
Clade2,35.25,1.0701278924362176,1.0018880698551191,1.2694003206383857
